HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEHANK,LINEBIHL,LINEERIC,LINEGRID,LINEFOX,LINEFREE,LINESELF,LINECPA2,VSCORE,HSCORE,WEEK
Carolina,New Orleans,-5,-1.28,-8.19,-3.46,-40.43,1,-3.56,1.22,-4.1,-9.02,-0.8,-4.47,-6.8,-4.3,-7.02,-8.39,-2.65,-4.3,0.65,-5,-8.47,-3,-9,,-16.92,-4.5,-1,-3,-0.16,,27,25,6
Chicago,Arizona,7,9.29,9.36,19.67,-17.13,15,12.99,7.44,15,11.36,13.97,8.57,20.6,12.4,17.2,18.05,18.1,12,14.11,11,2.74,8,9,,0.1,12.5,17,7,6.95,,13,20,6
Cincinnati,Cleveland,2.5,-0.85,-1.62,-2.71,11.93,-15,-0.27,2.16,5.4,-0.7,4.12,-2.27,-5,1.5,-2.5,-2.96,1.73,-0.1,5.5,1,13.63,0.25,-5,,-10.31,-0.5,6,2,0.65,,14,24,6
Dallas,Washington,3,9.45,12.06,15.1,-8.22,15,6.97,4.31,4.1,2.03,6.57,15.12,15.5,17,2,7.95,12.3,8.42,5.92,2,14.22,3,5,,12.41,5,10,2,10.75,,7,9,6
Green Bay,Baltimore,0,-1.8,1.31,0.92,-20.95,-3,-1.24,-1.99,-4.2,-0.1,3.8,8.16,-2.1,12.5,1.68,8.24,3.79,2.17,5.54,1,17.21,0.25,3,,7.29,5,0,3,-2.75,,23,31,6
Indianapolis,Oakland,3.5,-7.55,-0.58,-12.63,-82.21,-1,-4.22,1.5,-5,0.35,0.61,2.56,-11,-1.1,-14.48,-0.92,-1.14,-1.22,3.03,2,14.58,-0.25,-1,,7.37,1.5,0,2,-4.75,,23,18,6
Kansas City,Pittsburgh,3,1.05,-2.54,7.88,26,-4,-2.29,-1.73,1.3,-0.01,1.93,0.57,0.8,0.3,9.77,0.61,4.85,1.76,-0.39,4,8.73,-1,-6,,7.01,1,2,2,-1.06,,20,17,6
Minnesota,Detroit,10,3.3,16.52,9.61,-6.21,10,4.28,6.52,7,8.55,7.86,9.21,12,12.5,8.7,9.15,8.15,7.83,5.7,10,5.29,2,7,,8.08,10,6,5,7.07,,26,31,6
N.Y. Jets,Miami,-3,-8.61,-2.25,-13.27,-48.11,-11,-4.49,-1.34,-3.9,-1.96,-2.07,-2.04,-2.2,-1,-14.27,1.63,-4.11,-4.32,0.98,-2,-2.26,-2,-5,,-15.47,-2,-1,0,-5.78,,17,21,6
New England,San Diego,-3,-5.99,-4.38,-10.56,-12.37,-22,-1.68,0.5,1.7,-2.98,0.96,-8.95,-5.1,-3.9,-15.72,-5.15,0.69,-4.24,6.08,-2,-15.57,-1,-9,,-8.68,-1,4,3,-3.73,,26,29,6
Seattle,Denver,-7,-5.99,-7.62,-18.39,-35,-18,-2.61,2.15,-6.6,-7.7,-5.96,-9.42,-5.4,-6.1,-26.46,-10.72,-10.06,-8.05,-5.51,-6,-18.01,-4,-7,,4.76,-7.5,-9,-6,-1,,21,34,6
St. Louis,N.Y. Giants,10,14.17,15.33,16.78,-22.12,18,14.7,12.65,6.1,8.6,6.31,10.62,15.8,11,9.15,8.1,12.01,11.69,12.97,11,10.37,6,9,,21.99,9.5,9,8,11.73,,14,15,6
Tennessee,Tampa Bay,3,-3.82,-5.36,-7.12,-10.44,-5,-3.39,-3.18,-1.6,-4.35,-0.11,-4.09,0,-0.2,-12.3,-6.87,-0.81,-2.69,0.49,0,-4.89,-0.25,-7,,-1.95,0.5,2,1,-0.88,,28,31,6
Arizona,Kansas City,-2,0.96,0.02,-3.38,-11.37,2,3.37,6.28,-4.5,-3.87,-4.92,0.61,-3.2,-5.3,-6.86,3.85,-9.64,-2.54,-5.25,-4,-0.64,-0.25,-2,-0.94,-20.38,-4,-11,-2,6.91,,16,24,7
Cincinnati,Chicago,1,0.43,7.3,-0.76,-6.4,5,2.18,5.54,-4.6,-0.38,1.05,3.4,-1.6,4.6,0.75,2.84,0.33,1,-2.17,0,12.75,0.25,-2,0.6,-5.98,-0.5,-2,0,-0.31,,24,0,7
Cleveland,Baltimore,-7,-2.64,-2.19,-2.36,-12.89,-1,-0.14,1.55,-15.3,-0.71,-8.23,0.82,-4.8,-10.2,-3.2,2.82,-10.02,-3.94,-5.65,-10,-3,-2,-3,-3.4,-4.85,-1.5,-17,-2,0.31,,14,24,7
Detroit,Tennessee,-6,-2.71,-5.85,-2.99,-36.05,6,-3.31,1.25,-5.2,-4.3,-2.56,-4.54,-11.1,-1.5,-1.34,2.56,-5.71,-2.88,-3.98,-6,-7.69,-2,-3,-1.25,1.74,1,-8,-3,-0.2,,27,24,7
Indianapolis,New England,10.5,0.48,4.73,-0.38,-2.67,1,1.89,4.14,8.8,5.3,6.89,7.17,-4.1,8.9,-0.56,2.98,6.93,5.37,-0.88,11,25.09,5,3,1.03,7.5,12,11,9,2.81,,38,17,7
Jacksonville,Buffalo,9,10.47,8.19,18.14,27.02,15,18.61,10.72,7.8,13.74,10.11,11.96,11.7,1.7,16.4,2.94,12.89,11.5,7.48,8,10.26,9,10,18.55,16.4,13,6,4,14.72,,13,10,7
Minnesota,Green Bay,-3,-7.31,-1.1,-13.13,-30.65,-13.5,-8.65,-0.3,-11.6,-11.92,-5.92,-12.94,-11.3,6.8,-13.65,3.14,-10.23,-7.49,-9.06,-5,-19.7,-5,-11,-10.59,3.57,-2.5,-11,-1,-1.09,,13,35,7
N.Y. Giants,Philadelphia,3,0.49,1.74,-1.23,-34,7,0.97,3.39,8.3,4.97,6.16,-0.07,10.4,4.8,2.37,2.89,2.07,2.56,-1.97,4,-0.93,3,-1,4.05,-9.55,2,6,3,2.35,,10,9,7
N.Y. Jets,St. Louis,-7,-11.15,-12.7,-17.76,-43.69,-9.5,-9.4,-5,-8.7,-8.76,-4.38,-6.71,-7.6,0.4,-17.54,2.77,-10.78,-9.3,-3.24,-9,-11.65,-6,-11,-16.6,-13.91,-12,-8,-3,-12.48,,34,14,7
New Orleans,Atlanta,8.5,2.45,6.86,3.89,19.6,4.5,1.47,6.29,12.7,8.49,8.63,5.69,14.7,9.3,8.88,2.54,12.68,8.76,6.08,12,9.94,7,8,7.83,34.72,10.5,13,8,1.45,,20,13,7
San Diego,Denver,-2.5,-0.65,-0.78,3.67,10.48,-2.5,-0.36,3.5,-2.9,6.84,-1.7,4.62,4.4,7.5,6.63,3.2,-2.37,0.84,1.04,-3,-0.04,1,1,1.12,7.63,-2,-4,-3,-0.19,,10,27,7
Tampa Bay,Pittsburgh,6,-1.95,-3.04,1.22,21.45,-5.5,-3.16,1.54,4.2,0.35,3.93,2.53,2.5,2.6,2.79,3.3,3.35,2.7,1.58,9,17.74,-0.25,-5,0.24,4.73,4,6,8,1.71,,17,10,7
Washington,Carolina,-3.5,-9.71,-10.94,-9.82,-34.95,-8,-8.76,0.35,-1.5,-4.19,-0.4,-9.15,-9.4,4.2,3.27,3.1,-7.7,-4.99,-2.59,2,-12.51,-2,-8,-9.55,-10.43,-1,-5,1,-6.85,,14,17,7
Baltimore,Jacksonville,7.5,6.68,11.14,10.79,32.63,15.6,6.66,5.87,8.7,12.39,8.35,8.96,14.1,3.2,9.78,3.26,12.59,9.59,13.04,11,12.68,5,5,13.39,2.41,12.5,13,7,5.16,,17,18,8
Carolina,N.Y. Jets,-2.5,-4.33,-5.13,1.37,-21.82,8.2,-8.8,-2.44,-4.9,-6.46,-1.51,0.93,-8.2,0.9,3.83,1.72,-1.69,-2.09,-5.8,-1,-0.83,-6,-4,0.3,-3.66,-1,1,-1,-5.7,,13,12,8
Chicago,San Francisco,2.5,2.02,-6.67,11.7,25.41,2.2,3.95,3.6,2.3,4.06,4.61,4.45,14.1,6.5,13.14,9.54,9.23,4.96,8.39,4,8.36,5,1,7.62,-9,6,6,3,1.34,,31,37,8
Dallas,Arizona,0,-3.9,-1.63,-3.64,-14.36,5.4,-3.53,0.2,6,-5.5,6.43,-0.39,-2.4,3.2,-0.91,2.12,7.26,0.28,3.46,3,-4.25,0.25,-2,-2.79,-8.02,1.5,8,2,-1.87,,3,17,8
Denver,New England,7,0.24,4.32,1.94,-2.64,-0.8,-0.06,2.79,3.4,1.17,4.44,4.83,-2.6,2.4,2.88,1.65,4.14,2.36,-0.49,8,0.93,1,1,3.11,-4.15,9,2,7,1.8,,20,31,8
Detroit,Cincinnati,3,-9.21,-6.69,-11.5,-18.8,-13,-10.78,-5.75,2.3,-5.74,3.91,-7.17,-6.3,0.1,-9.91,-2.26,0.51,-4.66,-0.83,4,-7.58,-4,-7,-8.07,-12.64,-1,5,3,-8.06,,31,27,8
