Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
Oakland,Green Bay,-4.5,-2.86,-2.21,-4,-2.74,-3.23,-2.91,-3,-4.2,-1.32,,-6.22,-5.5,1.61,-4.69,-5.25,-1.88,-1,-4.72,-13.03,-3,-2,-3.81,-1,-2.17,-4.31,-4.77,,-5.5,-6.09,-0.82,,-3.77,-2.56,-4.9,-3.6,-4.67,-5,-3.68,-2.11,-4.46,,1.7893864935,41,7,16,-34
Philadelphia,San Francisco,7.5,8.95,8.3,11,7.3,9.09,12.55,9,12,7.65,,8.9,12.2,11.38,4.13,9.79,3.77,6,8.17,0.87,15.2,9,7.83,8,14.97,4.36,12.85,,7.5,10.85,8.67,,6.55,11.88,24.4,12.1,11.9,9,22.17,6.94,5.99,,3.9065461713,31,28,16,-3
Pittsburgh,San Diego,6,6.22,9.69,7,5.62,6.81,6.98,9,11,7.4,,6.89,8.7,5.95,6.37,6.82,5.5,4,11.71,10.03,6.86,9,7.92,6,5.43,6.87,7.33,,6,8.76,5.27,,5.72,6.67,9.3,5.4,7.81,5,10,6.68,6.23,,1.6025152643,24,40,16,16
Seattle,Arizona,13.5,12.64,13.99,16,17.88,14.49,12.6,15,16.9,19.96,,13.59,13.9,13.96,15.56,11.69,12.57,10,19.26,20.93,28.68,18,17.91,11,9.74,17.58,15.31,,13,15.82,8.46,,12.61,15.34,7.9,11.1,16.96,24,13.31,11.55,18.76,,3.5323772725,10,28,16,18
St. Louis,Cincinnati,7,7.51,10.56,11,11.24,8.64,7.92,10,-6.5,12.94,,7.58,6.9,11.6,9.01,5.68,7.33,7,9.15,8.07,8.77,11,9.58,7,6.39,8.94,8.03,,7,6.29,5.7,,6.88,8.38,-2.2,5.8,9.95,13,10.2,7.78,12.11,,3.9325539214,10,27,16,17
Tampa Bay,Atlanta,7,10.02,13.14,11,13.58,10,10.57,11,2.8,7.13,,10.5,9.8,3.59,13.95,8.25,9.44,7,18.09,13.9,13.21,14,13.82,6,7.94,13.03,10.75,,6.5,9.51,7,,9.77,10.94,2.7,7.7,13.76,12,13.22,10.68,7.79,,3.2157389705,30,28,16,-2
Arizona,Minnesota,-7.5,-7.77,-10.3,-10,-8.18,-8.12,-8.89,-10,-26.8,-1.5,,-9.55,-12.2,-0.78,-9.81,-8.83,-7.1,-4,-12.32,-14.97,-0.99,-17,-11.18,,-4.92,-12.19,-7.19,,-8.5,-13.29,-2.92,,-8.33,-7.85,-8.3,-6.3,-6.83,-7,-4.25,-6.05,-7.55,,4.8783447286,17,18,17,1
Atlanta,Jacksonville,3,-0.17,-1.76,0.25,-6.01,-0.08,0.41,1,-7.9,6.44,,-0.82,-1.5,6.31,-0.24,1.16,0.99,1,-2.91,-0.7,-9.29,-2,-1.32,,1.32,-2.25,-2.28,,3,-2.22,1.57,,0.05,-1.51,1.2,-0.1,1.59,-3,0.68,1.27,-6.26,,2.8660081918,14,21,17,7
Baltimore,Pittsburgh,7.5,8.11,9.62,9,7.95,9.14,7.87,6,12.6,13.22,,7.45,9.1,9.89,9.68,8.57,7.16,9,8.8,4.03,13.88,11,10.78,,7.42,9.52,8.22,,7.5,11,5.74,,7.79,8.44,4.1,8.5,8.48,14,6.8,7.61,13.64,,2.1432993304,10,13,17,3
Cincinnati,Cleveland,7.5,6.57,4.7,7,-0.95,7.09,7.39,8,11.6,9.4,,7.48,8,9.96,6.15,8.6,5,9,9.64,14.03,4.39,8,6.41,,9,4.79,7.49,,7.5,9.26,5.3,,5.93,7.58,21.9,8.9,9.98,4,16.84,5.46,2.09,,3.6426521627,22,14,17,-8
Detroit,St. Louis,-10.5,-8.43,-4.01,-10,-6.79,-8.31,-9,-11,-13,-4.63,,-11.36,-11.8,-2.57,-9.01,-7.88,-5.29,-8,-8.48,-6.07,-3.41,-12,-9.87,,-8.2,-8.95,-9.44,,-10,-11.36,-3.57,,-7.67,-9.31,-15.4,-8.3,-10.3,-7,-9.54,-7.81,-7.62,,2.8922524333,20,30,17,10
Green Bay,Denver,6.5,1.26,-1.39,2,3.9,2.37,1.91,3,6.7,4.39,,4.12,1.6,2.19,2.49,4.34,2.82,4,4.08,5.57,-3.67,3,2.83,,0.15,3.07,3.93,,6.5,4.7,2.08,,0.95,2.51,4.9,3,1.54,1,0.85,3.84,-1.28,,1.6280266244,3,31,17,28
Houston,Indianapolis,-7,-6.54,-8.23,-9,-11.71,-6.62,-5.81,-7,-14.3,-6.61,,-5.56,-6.7,-2.6,-8.18,-3.82,-4.79,-3,-9.02,-3.23,-11.06,-9,-8.92,,-5.47,-8.34,-8.05,,-7,-6.57,-2.54,,-6.25,-6.2,-5.7,-5.2,-6.96,-12,-5.27,-5.42,-9.99,,2.6931857086,20,17,17,-3
Kansas City,Chicago,10,11.62,13.96,13,14,9.77,10.53,9,3.9,16.01,,6.81,5.1,13.01,10.13,5.15,7.92,7,11.87,9.03,16.71,8,13.02,,11.81,11.5,10.6,,10,3.92,7.23,,8.97,9.94,-0.6,3.6,11.91,16,13.3,8.7,9.45,,3.9906135249,3,31,17,28
Miami,N.Y. Jets,4,7.43,4.42,7,5.54,6.53,8.06,8,0.3,8.22,,7.76,7.3,7.32,6.92,8.3,5.05,3,8.79,8.57,2.17,6,8.15,,8.14,6.79,5.74,,4,8.22,5.92,,6.93,6.09,6.2,7,8.59,4,9.47,4.8,1.31,,1.8600530344,21,23,17,2
N.Y. Giants,Carolina,-5.5,-2.87,-5.37,-4,-3.28,-4,-3.68,-1,-9.7,-1.82,,-4.95,-5.6,-3.05,-4.62,-3.35,-1.75,-4,-2.02,1.4,-6.24,-3,-3.12,,-4.43,-2.01,-3.95,,-5.5,-6.35,-1.36,,-1.94,-4.34,-8.7,-5.8,-6.68,-5,-4.14,-2.04,-11.93,,2.0725397309,37,24,17,-13
New England,Buffalo,8,10.24,9.34,10,7.82,10.83,12.78,11,14.7,12.76,,11.4,12.8,13.54,8,11.51,5.71,8,7.29,13.77,13.8,11,10.33,,15.21,8.42,14.53,,8.5,12.55,8.55,,9.07,11.59,22,12.7,15.36,9,15.65,11.83,5.22,,3.17499936,0,31,17,31
New Orleans,Dallas,-1.5,0.56,1.63,0.25,3.01,1.56,-0.82,3,10.9,2.64,,1.82,2.6,-0.81,1.19,2.47,2.17,1,1.73,-2.53,-0.6,6,2.2,,-1.26,2.08,3.64,,-2.5,5.2,0.91,,1.69,0.52,-3.8,1.4,-1.78,0,-3.69,4.55,-0.72,,2.7127521789,7,13,17,6
San Diego,Oakland,4,1.5,1.65,2,0.52,1.96,1.53,1,-0.3,4.98,,1.17,2.4,5.36,2.38,2.63,2.57,1,1.76,-0.97,0.48,1,1.65,,1.85,1.23,0.16,,4,1.89,2,,0.29,0.83,-0.8,2.8,1.52,2,2.39,1.27,4.4,,1.298865932,14,21,17,7
San Francisco,Seattle,0,1.98,7.22,2,6.6,4.44,1.45,6,15.1,10.28,,3.57,5,8.48,2.28,6.62,2.43,4,4.55,6.03,14.54,6,3,,0.71,3.35,4.36,,0,7.24,1.91,,3.2,3.31,14.8,5.7,0,10,2.61,1.3,8.4,,3.8173134558,24,17,17,-7
Tennessee,Tampa Bay,7,8.08,2.53,8,2.15,6.2,8.95,5,8.8,7.6,,6.07,6.3,7.79,3.56,6.78,3.33,4,6.1,6.6,2.48,5,7.85,,10.57,6.03,3.78,,7,6.11,6.2,,6.37,8.45,8.9,6.7,10.34,3,11.85,6.29,2.76,,2.2811856307,13,33,17,20
Washington,Philadelphia,-6.5,-4.64,-5.31,-6,-10.48,-5.59,-5.07,-6,-16.8,-3.62,,-5.91,-8.5,-5.1,-3.64,-5.39,-1.13,-2,-7.11,-2.4,-11.5,-8,-4.8,,-6.32,-3.51,-10.59,,-7,-8.68,-1.91,,-3.77,-6.99,-15.5,-7,-7.09,-8,-9.04,-6.24,-5.6,,3.5391329196,31,7,17,-24
Baltimore,Tennessee,-1,-0.52,-0.16,1,4.3,2.21,-1.99,2,14.7,6.62,,1.84,3.8,5.38,3.51,2.15,3.19,5,3.35,5,7.93,4,1.66,2,-3.45,2.46,2.67,,1,4.58,0.33,,0.61,0.08,-4,2.2,,,-3.05,1.56,6.93,,3.4737555725,20,17,18,-3
Carolina,Dallas,3,3.34,3.03,3,3.05,2.33,4.01,1,-5.9,2.02,,1.9,1.7,3.17,2.36,1.74,2.73,3,1.9,4.03,0.3,0,3.33,2,4.34,2.64,2.31,,3,0.43,3.36,,2.53,2.8,0.4,1.8,,,2.96,4.44,-2.47,,1.9284882845,10,29,18,19
Green Bay,Seattle,2.5,-4.56,-6.05,-2,0.83,-5.82,-2.95,4,-13,-5.39,,0.56,-11.9,-6.76,-2.04,-5.82,-3.94,-3,-9.43,-9.14,35,-2,,-2.95,-6.48,-2.75,-5.96,-7.8,2.5,-6.94,-11.48,-4.75,-11.31,-6.18,-13.5,-3.3,-11.65,-9,,,,,4.2771999246,27,33,18,6
Indianapolis,Denver,3,5.73,3.98,8,4.04,4.32,7.72,2,-2.6,4.74,,1.82,1.9,5.32,3.74,1.85,3.79,3,4.03,-1.93,-1.92,3,5.75,4,8.18,3.45,2.83,,3,3.23,5.33,,3.72,6.42,2.2,3.9,,,8.54,6.14,2.8,,2.2514412785,10,41,18,31
Kansas City,Indianapolis,3,2.29,3.29,3,4.78,2.29,1.01,3,-7.6,5.12,,4.13,0.6,7.09,3.46,0.35,3.79,3,3.26,6.97,8.44,-1,2.14,3,0.92,3.68,3.17,,3,-2.24,2.37,,2.16,2.03,-6.5,-1,2.24,2,2.46,2.09,2.32,,3.0439750365,38,31,19,-7
New England,Tennessee,-1,-2.55,-3.97,-2,2.89,-4.04,-4.23,0,-2.8,-7.68,,0.62,-3.3,-10.53,0.24,-5.49,0.95,-4,-14.15,-13.2,-48,0,,-4.23,-4.61,-0.92,-0.8,-3.1,-1.5,-4.67,-8.75,-6.1,-11.27,-3.46,-10.2,-1.7,-6.69,-6,,,,,3.5487521686,14,17,19,3
Philadelphia,Green Bay,5.5,4.74,-3.58,6,-1.21,2.99,5.71,3,-18.1,1.87,,1.55,3.4,5.8,1.73,2.37,2.16,1,3.7,1.27,1.71,2,2.26,5,8.33,0.23,3.91,,5,2.11,4.49,,2.83,4.77,-3.6,2.4,7.39,-1,11.22,5.39,-2.08,,4.7446616705,17,20,19,3
St. Louis,Carolina,7,5.04,8.19,5,8.51,6.01,2.22,7,7.6,11.92,,7.85,3.7,9.27,5.97,4.2,5.06,7,7.73,11.93,12.23,6,7.03,6,1.19,8.58,7.97,,7.5,5.01,3.46,,5.58,5.95,7.4,4.4,3.57,11,2.96,5.04,4.99,,2.4042569765,29,23,19,-6
New England,Indianapolis,3,3.45,2.37,6,0.93,4.73,4.69,4,6.6,5.06,,6.67,6.5,6.79,3.53,5.09,3.17,5,0.69,10,5.21,3,2.14,4,6.75,2.46,7.27,,3.5,5.65,4.5,,3.89,5.11,16.5,6.2,6.96,,7.08,6.74,0.67,,2.7605494473,14,24,20,10
Philadelphia,Carolina,4,6,-1.01,6,3.29,6.12,4.72,9,18.4,4.23,,9.25,7.8,2.76,5.1,7.37,4.38,4,10.16,12.1,6.41,11,7.03,7,4.6,6.99,8.76,,4.5,11.19,4.15,,6.12,7.07,12.4,7.4,5.45,,7.68,9.13,-0.27,,3.5718116445,14,3,20,-11
New England,Carolina,7,4.88,5.26,5,5.3,4.85,5.32,5,15.9,4.86,,6.93,4.9,4.41,3.38,3.29,2.02,6,3,7.03,-5.78,6,5.27,,5.8,5.36,7.19,,6.5,6.45,3.51,,4.98,5.17,15,3.1,,6,0.94,5.38,0.56,,2.9665121237,29,32,22,3
