Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,lineyl,linecpa,linemass,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linel1,linel2h,linefox,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,lineylr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,linestd,vscore,hscore,week,difference
Atlanta,Minnesota,-4,-4.38,-8.45,-6,0.84,-5.16,-1.42,-1,4.1,-12.43,,-4.18,-5,-12.08,-8.26,-5.8,-7.53,-9,-16.93,-15.68,-25,-1,,-1.42,-4.11,-4.7,-1.57,-3.7,-4,-4.01,2.59,-1.36,-8.16,-7.82,-4.8,-4.5,-13.51,-10,,,,,4.2720847962,39,26,5,-13
Buffalo,Cincinnati,8,7.08,-2.52,7,12.17,7.72,5.18,11,20.4,10.9,,5.08,3.5,3.84,12.23,6.06,9.84,7,11.1,11.62,1,12,,5.18,4.55,10.13,11.53,6.8,8,12.85,2.75,5.83,2.31,6.34,11.8,5.9,8.2,11,,,,,4.3695984849,16,22,5,6
Carolina,New Orleans,6.5,10.37,6.73,10,4.32,12.38,9.88,7,11.4,13.65,,9.79,19.2,15.63,14.53,13.86,13.66,11,14.29,15.54,93,10,,9.88,9.94,11.84,9.48,15.7,7,15.56,9.68,8.44,10.32,14.31,12,11.4,15.63,28,,,,,4.3565007576,13,19,5,6
Chicago,Oakland,-4,-7.3,-2.24,-4,-7.95,-8.2,-7.42,-8,-14,-14.23,,0.49,-13.2,-13.65,-3.01,-9.92,-4.99,-7,-9,-8.55,-53,-11,,-7.42,-8.55,-5.99,-6.26,-9.1,-4,-12.21,-13.01,0.2,-18.19,-8.32,-9.5,-4.7,-11.24,-4,,,,,4.4138445853,21,24,5,3
Dallas,Arizona,7,8.21,2.8,6,9.36,9.85,9.54,12,6.1,13.53,,7.46,15.3,11.73,11.07,13.52,11.39,10,19.27,20.49,58,14,,9.54,6.71,12.26,7.95,10.7,7.5,14.96,10.73,7.27,6.97,11.98,7,9.1,9.86,8,,,,,2.9470742164,7,24,5,17
Green Bay,Seattle,7,4.68,3.93,6,8.46,7.35,4.77,9,35.9,10.22,,8.92,9.8,9.12,5.23,9.36,4.72,5,8.46,7.93,9.13,13,6.53,5,3.62,7.21,9.12,,7,13.91,3.8,,4.79,6.69,16.3,9.6,,,4.11,5.08,11.94,,6.2482879772,13,35,5,22
Jacksonville,San Diego,3,2.28,2.27,3,3.39,3.5,2.55,1,8.3,3.66,,4.81,0.8,0.79,4.67,7.64,5.68,2,3.91,4.15,-94,3,,2.55,0.91,3.03,3.24,4,3,6.37,2.9,3,0.56,3.86,7,2.9,1.66,7,,,,,2.1140443345,21,27,5,6
Kansas City,Denver,3.5,2.57,4.87,1,5.14,3.41,4.67,4,3.7,0.25,,3.35,2.7,2.16,2.51,7.1,1.94,1,3.22,3,8,4,,4.67,3.1,1.99,3.41,6,3.5,5.23,5.91,6.78,2.32,5.32,6.4,2.4,0.63,-1,,,,,2.0481024579,23,24,5,1
N.Y. Giants,Miami,0,2.44,3.71,0.25,0.98,1.35,4.66,0,-3.5,-1.46,,0.93,-4.7,0.2,-0.3,-2.1,-0.8,2,3.33,2.58,0,0,,4.66,4.25,0.48,3.63,3.8,1,-3.59,5.22,8.47,0.29,4.97,5.5,0.4,0.66,-1,,,,,3.0605349431,23,10,5,-13
New England,Tennessee,6,4.42,1.42,7,3.21,5.77,5.81,7,13.9,6.95,,6.76,8.5,10.31,4.3,5.83,4.02,5,2.26,9.03,8.26,4,4.05,5,7.52,3.68,6.83,,5.5,7.48,4.93,,4.31,5.31,12.5,6.7,7.11,7,9.32,5.76,4.42,,2.6081668597,30,38,5,8
Philadelphia,Washington,5.5,0.24,-6.07,0.25,8.95,-1.84,1.05,10,-7.1,-11.37,,0.19,0.8,-9.07,-4.48,-0.03,-3.36,-1,15.78,15.25,2,8,,1.05,-0.81,1.24,1.17,3.6,5.5,-1.69,-1.53,-0.12,-3.54,-1.62,-16.1,0.1,-8.14,-5,,,,,5.5707007442,25,27,5,2
Pittsburgh,Cleveland,7,7.14,7.47,5,6.68,8.77,9.15,10,17.2,9.29,,4.44,8.6,9.37,6.96,9.78,7.16,8,8.85,9.96,-38,7,,9.15,8.87,5.49,6.32,9.3,7,9.77,12.17,8.41,7.87,7.64,20,5.3,7.48,10,,,,,3.2100612126,33,13,5,-20
San Francisco,Detroit,7,3.19,8.06,3,14.34,4.24,2.3,9,6.5,8.78,,2.44,3.3,1.96,7.54,3.04,6.93,4,4.3,5.24,71,11,,2.3,0.63,5.07,9.4,4,7,4.76,1.55,2.27,-2.18,2.36,-2,2.9,0.83,10,,,,,3.8438977016,17,24,5,7
Tampa Bay,Indianapolis,4.5,-0.62,0.67,1,8.68,1.58,1.29,9,5.1,-5.55,,1.24,5.1,-9.99,3.06,-0.57,3.94,1,-0.03,0.79,15,13,,1.29,-2,1.46,9.47,3,4.5,6.03,-2.29,-2.89,-3.85,-1.36,-3.5,1.6,-2.86,14,,,,,5.3578197766,38,35,5,-3
Arizona,Baltimore,-5.5,-5.62,-7.4,-4,-10.06,-6.49,-7.59,-7,-5.6,-10.61,,-4.06,-11.5,0.96,-6.97,-10.7,-6.79,-7,-16.22,-16.51,-9.64,-11,-12.59,,-3.09,-10.61,-5.02,,-5.5,-12.39,-1.31,2.39,-9.84,-5.58,2.7,-4.7,-10.3,,,,,,4.2474182635,26,18,6,-8
Cleveland,Oakland,3,3.85,8.22,3,-1.79,4.48,6.68,-1,3.3,6.39,,5.18,10.6,2.73,4.1,9.9,3.95,3,0.84,0.08,38.49,0,9.53,,3,4.69,2.41,,3,2.9,5.53,6.11,5.96,5.3,0.2,2.1,3.35,,,,,,3.0663841097,7,13,6,6
Dallas,Philadelphia,1,1.47,-1.35,2,-5.44,2.91,2.54,-4,6.5,3.03,,6.32,2.3,-4.42,10.32,5.54,8.55,4,0.06,0.74,-35.66,-5,5.58,,0.79,2.16,-0.32,,0,2.65,2.88,1.35,0.93,3.54,13.4,2.9,4.91,,,,,,4.3702165838,21,23,6,2
Denver,Pittsburgh,6.5,9.88,5.88,10,11,12.19,11.13,9,16,16.11,,11.9,16.4,12.45,13.96,20.24,13.28,5,12.8,12.91,13.38,15,17.51,,7.27,13.48,10.5,,7,19.31,8.46,4.86,14.25,12.64,11.6,10.4,12.52,,,,,,3.9560130877,14,17,6,3
Green Bay,Kansas City,1.5,-3.13,-0.87,-3,2.15,-4.15,-2.49,0,-13.5,-5.85,,-0.02,-1.7,-12.36,1.31,-6.53,0.82,-1,-4.54,-4.51,-6.82,-4,-3.34,,-6.06,-0.11,-5.03,,2,-7.15,-3,-4.13,-4.34,-3.62,-14,-4,-5.01,,,,,,4.0920943267,40,34,6,-6
Indianapolis,Carolina,5,7.18,9,4,8.56,6.6,6.43,10,8.9,7.85,,5.41,8.6,0.83,4.43,10.79,3.27,4,11.97,11.31,-5.45,9,12.85,,4.52,8.54,4.73,,5,9.8,3.65,7.68,5.99,7.73,5.2,4.8,3,,,,,,2.7898970226,23,20,6,-3
Jacksonville,Miami,-3,-5.69,-2.1,-5,-2.57,-7.76,-8.08,-11,-13.4,-10.22,,-4.62,-12,-11.98,-6.58,-8.18,-4.66,-6,-6.38,-6.45,-27.74,-8,-3.2,,-5.69,-6.04,-8,,-3,-10.56,-4.02,-5.83,-9.47,-7.2,-13.7,-7.9,-10.51,,,,,,3.2096137004,24,10,6,-14
