Home,Road,line,linesag,linepz,lineARGH,linekamb,lineavg,linematt,linepig,linens,linecpa,linemass,linemore,linebemiss,linecpar,linepyth,lineelo,lineeff,linehank,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linestr,lineself,linefly,linegrn,linecoff,linensr,lineesp,lineadler,linetsr,linelog,linevia,linebenson,linemed,lineglenn,linedudley,lineash,lineburl,linestd,vscore,hscore,week,difference
Pittsburgh,Cleveland,8,14.7,8.61,10,12.67,13.1,15.05,16,19.83,9.65,,9.34,12.4,10,11.55,15.02,7.9,7,15.99,7.89,14,4.46,16,9,14.68,15,15.2,14.81,13.68,17.57,8,,10.96,14,14.92,11.61,15.5,15.3,10.09,17.19,3,12.89,8,13.84,17,14,10,18.5,3.2280235639,21,34,10,13
Seattle,St. Louis,7,11.04,12.49,12,11,9.72,9.9,9,16.33,14.07,,7.56,8.5,13.26,10.02,10.42,9.13,8,14.8,6.84,16,12.05,9,7.5,12.81,2,9.69,12.53,9.99,17.19,6.5,,6.75,1,12.25,11.12,8.5,8.9,7.72,16.1,3,7.19,7,9.8,9,-2,8,11.5,3.5762801603,16,31,10,15
Tampa Bay,Washington,-1.5,-4.09,1.28,-1,3.63,-0.6,-7.67,-2,-3.66,1.46,,1.09,-0.9,-1.09,4.9,-5.09,4.03,1,0.83,1.51,6.4,4.61,3,-1.5,-4.49,3,-5.87,-2.61,3.27,-1.83,0,,-2.93,-4,-3.76,-0.62,-6.5,-2.6,-2.27,-2.2,-12.2,4.33,-1,-1,-1,-2,4,-3.5,3.4663370397,35,36,10,1
Atlanta,Tampa Bay,6,5.67,5.94,4,5.22,5.89,3.44,9,7,4.48,,3.79,6.8,1.78,4.26,5.81,4.06,4,8.37,3.97,5.79,-4.32,7,6,,7,4.95,6.4,7.7,6.14,6,,3.88,7,6.59,4.66,3.7,9.1,4.05,8.46,6.81,6.8,2,5.81,9,2,4,12.5,1.7980431573,30,27,11,-3
Baltimore,Pittsburgh,-3.5,-9.12,-3.25,-8,-7.17,-8.21,-10.04,-6,-10.66,-9.84,,-7.92,-7.2,-5.66,-9.75,-7.28,-5.36,-7,-9.48,-4.72,-16.79,-15.22,-9,-4.5,,-2,-8.69,-9.66,-6.24,-9.29,-3.5,,-4.7,-14,-6.89,-8.38,-7.5,-6.5,-10.95,-9.75,-9.54,-6.01,-12,-8,-9,-14,-5,-8.5,2.4906644315,13,16,11,3
Chicago,Carolina,-3,0.93,-0.15,0.25,-3,-2.42,0.1,-6,-3.34,-2.45,,-4.66,-6.1,3.3,2.62,-2.04,3.1,-1,-0.51,1.6,-2.21,-6.33,-8,-3,,-5,1.21,0.6,-3.55,1.19,-2.5,,1.47,-10,1.17,-0.71,0.9,-3.5,-1.03,1.18,1.55,-0.44,-4,-1,-9,-9,-1,-11.5,3.2328291762,3,13,11,10
Cincinnati,Indianapolis,-6,-2.01,0.62,-3,-3.61,-3.27,-3.39,-6,5.5,-6.12,,-3.62,-3.7,-5.56,-0.09,-5.36,-0.24,-3,-1.73,0.96,-3.09,-11.75,-3,-5.5,,-6,-4.25,-0.8,-3.58,-3.34,-4,,-1.83,-6,-2.62,-2.39,-9.9,-0.9,-5.09,0.96,-3,1.53,-11,-3.34,-5,-14,2,-5.5,3.035047785,45,37,11,-8
Cleveland,Miami,2.5,3.32,-0.1,1,0.89,1.11,0.23,0.01,7,0.8,,1.35,0.5,2.31,0.73,3.61,1.61,1,0.17,1.35,-1.08,-3.58,-1,2.5,,1,1.86,4.64,-0.38,5.68,1.5,,1.59,2,3.67,1.87,0.4,2.5,-1.5,3.49,-3.31,3.01,-1,1,1,-10,2,-1.5,1.8979269998,0,22,11,22
Dallas,Detroit,8,13.8,8.69,9,8.04,9.9,12.38,11,10.5,14.3,,6.74,10.1,10.49,7.76,11.51,6.3,8,14.8,6.49,14,14,13,8,,3,13.94,13.71,8.87,14.74,8,,7.82,2,12.35,10.43,10.2,12.2,7.32,14.96,3,8.32,7,10.1,12,4,7,9.5,3.3187209141,7,20,11,13
Denver,N.Y. Jets,13.5,19.19,19.41,14,14.6,15.34,20.61,11,29.34,20.79,,15.06,16.9,17.58,14.05,18.49,11.21,15,14,11.8,14,14,14,13.5,,3,18.94,19.57,15.31,28.44,12.5,,12.2,9,18.66,18.4,15.7,15.2,13.29,23.24,3,11.26,14,15,18,3,9,14.5,5.3704725279,0,27,11,27
Green Bay,Minnesota,5,4.41,6.71,3,9.88,5.5,1.68,5,3.5,7.28,,4.57,3.7,2.17,9.69,4.83,8.13,1,13.83,6.96,14,14,10,5,,5,-2.11,10.75,4.36,1.76,3.5,,1.42,6,7.31,4.13,-1.5,4,5.99,13.95,1.54,5.53,6,5,8,-4,5,0.5,3.5839075188,20,17,11,-3
Houston,Kansas City,-7,-7.38,-2.49,-7,-4.95,-4.8,-6.47,-6,-3,-6.75,,-3.88,-3.7,-2.02,-5.4,-3.94,-3.68,-6,-3.6,-6.88,-5.87,-8.17,-7,-7,,0.01,-7.04,-7.78,-5.54,-3.87,-6.5,,-3.02,-7,-5.39,-4.47,-6.9,-2.3,-3.36,-6.01,-6.87,-3.27,-8,-4.95,-5,4,-4,-11.5,1.9682881295,45,17,11,-28
N.Y. Giants,Philadelphia,7,7.08,8.88,6,4.74,6.58,6.8,1,13.34,13.06,,8.32,5.8,8.15,9.59,6.99,8.32,8,7.15,5.21,10.98,7.36,5,7,,-8,5.72,8.85,5.62,12.99,7,,5.56,8,8.33,7.12,5.6,7.3,7.93,11.82,6.37,4.99,7,7,4,6,5,-1.5,3.9174192332,17,27,11,10
New England,New Orleans,9.5,14.35,3.83,14,13.22,11.91,14.46,15,13.83,10.48,,8.07,12,7.78,7.69,13.3,6.96,8,16.3,11.09,14,8.6,15,10,,11,15.7,13.2,13,20.82,10,,9.55,10,14.09,12.91,12.9,14.2,8.21,17.28,3,11.53,8,13,15,-4,12,15.5,3.5300884851,17,24,11,7
San Diego,Buffalo,11.5,13.87,11.01,10,12.22,10.37,11.72,9,6.33,10.54,,7.16,9,8.97,8.81,12.3,7.03,8,14,8.68,14,14,12,11.5,,4,12.51,16.08,8.47,14.19,9.5,,8.07,6,15.95,11.26,9.1,10.1,7.29,20.47,3,9.2,11,9.7,7,2,8,18.5,3.4430676812,10,48,11,38
San Francisco,Seattle,-13,-9.64,-9.92,-12,-12.78,-10.68,-11.21,-12,-18.5,-10.75,,-11.04,-12.8,-1.6,-11.22,-10.91,-8.97,-12,-15.3,-9.71,-15.84,-6.26,-12,-13,,-4,-8.55,-12.95,-9.66,-10.39,-12.5,,-4.6,-11,-9.65,-10.68,-6.7,-7.4,-11.34,-15.39,-6.95,-6.56,-16,-11,-14,-5,-9,-17.5,3.2751336903,27,25,11,-2
St. Louis,Arizona,9,9.25,7.97,9,8.72,7.9,7.61,7,7,9.24,,5.19,7.1,11.66,5.74,7.55,5.4,7,9.4,6.77,12.15,13.61,7,9,,6,10.71,7.68,9.84,13.54,10,,6.05,7,8.36,8.99,7.7,8.9,5.34,8.55,13.14,6.76,5,7.61,8,9,6,5.5,1.9000252872,38,28,11,-10
Tennessee,Jacksonville,-4,-7.53,-7.74,-8,-5.68,-6.97,-12.1,-7,-12.5,-9.63,,-5.67,-7.4,-5.54,-4.36,-7.96,-1.99,-6,-6.7,-4.24,-7.35,-6.74,-6,-4.5,,-3,-10.75,-5.01,-8.13,-7.49,-4.5,,-5.29,-6,-5.91,-8.23,-11.1,-4.8,-4.32,-7.42,-10.94,-3.69,-8,-7,-10,-18,-3,-7.5,2.5850404297,31,28,11,-3
Washington,Oakland,6,8.66,5.73,7,3.45,5.23,8.9,4,-4,7.2,,3.34,2.6,11.09,4.15,4.29,3.91,7,7.93,4.41,4.98,2.77,1,6,,5,11.38,6,2.76,13.88,5,,6.22,4,7.2,6.49,8.6,3.4,5.2,7.31,3,4.51,2,5,5,-2,5,3.5,3.3476585744,16,13,11,-3
Arizona,Jacksonville,-3,-5.8,-6.02,-7,-6.3,-5.66,-7.2,-5,-4.84,-5.19,,-3.75,-3.4,-3.28,-4.26,-8.59,-1.96,-6,-7.56,-4.06,-11.25,-7.71,-6,-3,-7.46,-2,-6.96,-4.95,-6.91,-5.24,-3.5,,-2.77,-3,-5.5,-4.48,-6.1,-2.8,-4.16,-5.46,-8.09,-4.08,-8,-5.35,-7,-18,-4,-4.5,1.6544608322,24,17,12,-7
Buffalo,Carolina,-3.5,-3.86,-2.15,-5,-3.09,-4.71,-5.64,-5,-14,-7.32,,-6.47,-4.6,3.36,-6.78,-4.03,-3.64,-5,-6.28,-3.93,-1.87,-2.85,-7,-3.5,-6.43,4,-3.35,-4.47,-3.36,-4.88,-4,,-0.98,-7,-4.4,-4.6,-2.4,-2.3,-4.61,-6.13,-6.31,0.44,-11,-4.6,-2,-19,-2,-13.5,3.2526540693,13,9,12,-4
Cincinnati,Baltimore,9,12.76,11.77,10,11.52,10.64,11.2,7,10,12.83,,9.31,9.2,8.66,14.16,11.85,10.12,11,14.62,9.86,12.03,15.16,11,9,13.79,0.01,12.7,12.81,9.84,16.26,9,,8.54,14,11.4,10.76,10.3,8.9,12.68,16.48,11.66,9.5,13,11,10,3,9,5.5,2.9747778448,29,42,12,13
Dallas,Denver,-2.5,0.49,1.74,-0.25,-1.59,-0.92,0.58,0.01,-5.33,0.77,,-1.47,-2.7,5.7,1.43,-1.83,1.36,1,-2.32,1.4,-7.93,0.72,-3,-2.5,0.26,-2,1.06,-0.18,-1.39,-0.16,2,,1.1,-1,0.4,0.14,0.3,-2.6,0.41,1.52,-2.09,0.11,-5,-0.17,-5,2,-1,-4.5,1.8967414049,24,21,12,-3
Detroit,Atlanta,-3,0.98,2.54,-1,-0.74,-1.15,0.08,-2,4,-1.13,,-0.5,-1.9,1.16,-1.79,-0.58,-0.28,-1,-0.88,0.02,-6,-5.71,-5,-3,0.4,-2,0.83,1.14,-1.55,2.44,-3,,1.01,-3,1.8,0.28,0.1,1.6,-2.95,1.92,-1.26,-2.83,-4,-0.94,-4,-7,-3,-3.5,1.9243005153,27,7,12,-20
Houston,St. Louis,-3.5,-2.75,-0.4,-5,0.34,-2.26,-3.39,-2,-2.33,-4.72,,-2.71,-2.2,1.22,-3.26,-1.84,-2.52,-5,-0.32,-3.07,-2.99,-6.8,-2,-3.5,-2.35,3,-3.96,-1.43,-0.88,-2.58,-3.5,,-1.58,-6,-2.7,-1.77,-3.8,-0.1,-3.52,-1.2,-5.21,-0.76,-6,-2.28,2,-8,-2,-2.5,1.8909234246,33,27,12,-6
Indianapolis,Pittsburgh,8,10.91,8.16,10,5.7,8.37,10.68,9,7.5,5.21,,9.57,9.9,6.19,6.18,9.93,6.72,9,10.35,5.54,9.1,-0.12,7,8,9.02,4,15.63,8.32,5.22,16.78,7,,8.58,3,11.2,8.88,16.2,8.9,10.24,9.54,10.11,6.56,2,8.95,12,4,4,6.5,3.2444356005,7,26,12,19
Kansas City,New England,3,5.02,4.52,3,3.01,4.04,3.55,3,9.83,1.75,,4.22,4.1,0.67,6.68,1.69,5.81,3,5.79,3.97,9.16,-5.22,6,3,5.91,-2,1.35,8.62,2,2.68,3,,1.99,1,4.2,4.04,0.7,5.8,3.04,8.46,-3.35,1.72,2,4,5,7,1,5.5,2.5818419698,16,26,12,10
Minnesota,Cleveland,4,4.66,3.36,3,2.44,3.82,3.73,7,6.33,4.53,,2.25,4.2,10.73,-0.76,5.8,0.71,5,-0.05,1.5,-0.91,7.49,2,4,1.11,8,8.19,0.89,6.45,10.81,4.5,,3.76,1,2.4,3.84,5.9,8.6,3,0.48,8.2,5.37,-2,3.54,3,5,3,8.5,2.9940050495,12,24,12,12
N.Y. Jets,New Orleans,-1,3.39,3.65,3,6.62,3.97,4.11,6,5,6.04,,0.74,0.01,7.52,1.9,5.83,2.2,1,6.93,3.89,4.98,14,7,0,6.08,6,5.15,1.89,5.95,8.51,2.5,,3.47,-3,4.3,5.31,4.1,7.3,-1.9,7.82,5.22,5.61,-2,4.6,4,-1,7,5.5,2.6971829988,21,19,12,-2
Oakland,Miami,7,11.08,5.43,7,5.27,7.88,9.54,8,16.17,8.43,,6.91,8.6,6.25,5.13,7.7,4.32,5,6.41,6.03,10.38,6.52,8,7,9.4,3,8.53,13.93,5.19,12.63,7,,6.13,7,9,8.63,6.6,12.7,5.22,11.72,2.44,6.18,4,7.85,8,12,4,9.5,3.0512193579,33,21,12,-12
Philadelphia,Green Bay,4.5,10.44,2.93,8,4.02,4.84,9.2,6,4,4.42,,1.13,4.2,10.8,0.44,2.83,1.19,5,4.17,3.44,8,6.21,1,4.5,7.47,9,13.09,8.81,3.45,11.9,4,,7.02,-2,7.2,6.66,9.7,4.3,2.19,7.41,8.19,4.96,-1,4.69,3,-8,5,6.5,3.6773994142,14,19,12,5
Seattle,N.Y. Giants,4.5,4.03,6.08,4,2.39,2.97,2.28,6,-0.5,4.88,,1.85,2.5,9.51,2.41,4.24,2.68,6,5.05,2.84,0.08,7.41,3,4.5,1.81,5,6.56,1.49,3.85,8.07,5.5,,2.86,1,1.1,3.44,4.2,2.3,3.2,1.49,7.17,3.53,-1,2.85,2,-11,3,2.5,2.1597985768,21,24,12,3
Tampa Bay,Chicago,3,2.78,1.85,0.25,2.66,1.4,1.03,2,-9.83,-0.31,,-0.49,0.6,4.99,-1.25,0.18,0.14,1,1.32,2.37,7,0.42,3,3,0.73,6,3.61,1.99,1.61,0.12,3,,1.83,4,0.8,1.54,2.3,-0.2,-2.09,1.04,2.98,3.83,-4,1.18,3,-1,4,2.5,2.7146066073,13,10,12,-3
Tennessee,San Francisco,7.5,5.02,9.2,5,12.32,5.69,2.71,7,7.34,7.03,,3.71,6.6,4.39,7.5,5.49,7.01,4,10.07,6.68,5.28,14,9,7.5,7.32,7,1.64,9.37,6.08,2.98,7,,2.31,10,5.7,4.08,-0.2,3.9,3.74,10.5,0.98,7.36,4,6.34,7,-13,7,7.5,2.812566501,22,33,12,11
Washington,San Diego,-3,0.3,-0.81,-1,-6.88,-3.88,-0.85,-5,-10.5,-4.16,,-4.1,-5.9,4.83,-2.74,-2.81,-1.21,-2,-5.07,-0.19,-7.88,-12.43,-10,-3,-4.04,-4,2.35,-3.75,-6.36,-0.62,-3,,1.39,-3,-2.8,-1.99,1.9,-5.1,-4.12,-3.94,0.8,-4.62,-8,-4,-7,-9,-4,-8.5,3.2901551096,23,17,12,-6
Baltimore,Houston,8,10.73,11.17,7,8.16,7.85,7.11,11,16.66,4.71,,7.45,8.4,5.5,5.12,12.08,5.28,7,10.13,8.73,8.5,8.74,10,8,9.45,5,10.56,10.9,7.94,10.53,7,,6.26,-4,10.4,7.45,8,7.8,1.86,11.39,11.86,8.89,5,8.4,10,1,9,12.5,3.6240030739,15,16,13,1
Carolina,Atlanta,3,5,3.71,5,4.33,4.54,3.96,5,5.17,4.4,,4.76,4.4,1.68,4.42,5.4,4.13,4,5.82,3.74,2,-3.16,6,3,4.83,4,6.14,3.93,6.53,9.56,3,,3.36,3,6.2,4.68,4.2,7.2,3.62,6.02,5.71,5.83,1,4.4,4,7,4,3.5,1.4443653962,6,24,13,18
Chicago,Green Bay,7,10.98,6.53,9,3.23,6.45,12.23,5,7.67,7.39,,7.28,7.2,7.66,8.24,6.33,6.35,9,4.94,6.16,2.41,2.87,1,7,7.83,-3,15.57,7.94,6.18,20.74,6.5,,8.79,-1,7.2,9.47,12.6,6.4,7.33,8,10.17,6.48,5,6.53,4,2,4,1.5,4.3619905193,7,19,13,12
Cleveland,Jacksonville,-3,-5.34,-7.79,-5,-1.11,-4.09,-6.97,-5,-1.84,-2.18,,-4.33,-4.2,-2.11,-2.49,-4.72,-0.25,-5,-2.39,-1.37,-3,-0.11,-4,-3,-4.6,-4,-8.56,-2.83,-4.99,-5.39,-2.5,,-3.05,-6,-3.1,-5.11,-7.2,-2.7,-3.78,-1.98,-8.08,-1.17,-6,-4,-3,-11,-2,-4.5,2.0673376469,20,14,13,-6
Detroit,Minnesota,-3,1.24,4.59,0.25,3.11,-0.91,0.22,-3,-8.34,-1.89,,-2.04,-3.7,-1.08,3.37,-4.12,3.03,-2,1.97,1.71,-1,10.14,-3,-3,2.18,1,-0.9,3.43,-0.13,-2.43,-3,,1.57,4,4.3,0.85,0.01,-8,-2.5,5.88,-3.43,-1.34,-2,-0.9,-5,-17,0.01,-2.5,3.3755358635,21,16,13,-5
Indianapolis,Tennessee,16,22.34,14.48,23,16.51,18.51,21.49,20,13.33,15.01,,17.49,19,14.3,14.64,22.53,13.3,15,23.55,14.04,28,23.44,20,16,21.64,15,26.54,20.27,17.66,32.09,15,,15.13,18,20.7,19.2,24.8,15.2,16.75,23.08,20.32,14.97,13,18.41,25,7,13,23.5,4.4532335479,3,35,13,32
Kansas City,Denver,-1.5,-2.53,1.89,-4,0.43,-2.17,-3.63,-1,-5.5,-4.33,,-3.92,-2.5,-2.34,-0.21,-4.29,0.55,-1,-4.69,0.27,-5.78,-0.52,-1,-1.5,-3.37,3,-3.48,-1.35,-1.67,-5.51,-1.5,,-1.25,2,-3.4,-2.58,-2.9,-4.1,-1.84,-2.34,-5.06,-2.14,-7,-2.34,-2,-1,-2,-2.5,2.1502788516,27,31,13,4
Miami,Buffalo,4.5,4.29,4.55,4,5.83,3.89,4.97,3,4.66,4.63,,2.12,4.6,2.25,6.1,3.68,4.96,2,10.46,6.28,11,24.84,4,4.5,6.95,-5,5.38,2.94,1.24,5.08,3,,3.54,3,3.9,4.6,3.7,1.3,3.41,9.29,9.87,1.78,3,3.9,1,-1,3,6.5,2.3837931732,23,24,13,1
N.Y. Giants,Dallas,3,3.85,2.79,3,5.89,2.84,3.74,0.01,4.33,4.59,,1.87,1.7,2.02,4.53,3.46,4.46,1,3.77,3.38,6.9,-0.18,1,3,4.43,2,3.14,4.79,2.33,0.63,3,,3.25,3,3.7,3.33,2.9,2.7,3.98,6.96,3.59,4.7,1,3,2,-5,4,0.5,1.5068907674,10,17,13,7
New England,N.Y. Jets,10,13.57,6.69,12,9.33,10.31,12.7,10,11.17,7.87,,9.05,12.7,7.64,8.41,9.88,7.51,9,11.76,10.95,11.22,7.48,10,10,12.13,8,15.17,12.11,10.9,16.85,9.5,,8.95,11,11.1,11.67,11.7,7.9,11.38,13.64,14.1,9.23,8,10.9,12,1,7,11.5,2.3465049737,3,16,13,13
New Orleans,Tampa Bay,-3.5,-1.18,-2.24,-5,-3.28,-3,-5.27,-1,-4.34,-1.97,,-4.56,-3.2,-3.11,-4.82,-1.45,-2.62,-5,-4.03,-5.26,-2.31,-9.1,-3,-3.5,-4.84,4,-2.28,-0.13,-3.43,-4.9,-3.5,,-1.44,3,-4.1,-4.48,-3.2,0.4,-5.63,-4.64,-4.37,-4.16,-7,-3.2,-1,-9,-2,-1.5,2.3551947617,10,3,13,-7
Philadelphia,Seattle,-4,-1.2,-1,-3,3.68,-0.9,-3.02,2,-3,-1.55,,-3.88,-1.5,-1.33,-3.16,-1.02,-1.6,-5,0.18,0.55,0.38,6.08,1,-3.5,-0.55,12,-3.12,0.44,-1.15,-5.16,-3,,-0.62,-11,0.7,-2.92,-3,-0.3,-4.88,1.5,-3.49,3.43,-7,-1.02,1,-3,1,2.5,3.7573790053,42,0,13,-42
Pittsburgh,Cincinnati,3.5,2.59,-1.31,2,1.53,1.9,1,4,-1.5,-4,,-1.22,2.2,0.06,2.1,2.53,1.59,1,4.08,2.33,3,-10.57,4,3.5,2.78,11,1.7,3.41,3.29,0.43,3.5,,1.81,-1,2.9,1.31,1.2,2.4,2.45,4.33,1.75,4.76,-3,2.2,3,1,3,3.5,2.559005141,38,31,13,-7
San Diego,Oakland,11.5,11.29,8.67,13,10.97,11.32,11.67,12,15.67,11.4,,10.92,11.9,4.52,9.91,13.31,8.36,10,15.67,7.95,8,12.25,16,11.5,14.24,12,10.89,14.05,10.33,14.53,10,,7.32,14,10.1,11.36,8.6,10.9,8.21,16.75,11.93,12.38,9,11.36,16,7,12,14.5,2.7448590852,10,34,13,24
San Francisco,Arizona,-3,0.6,-3.2,-1,-0.88,-0.79,-0.67,-3,-1.5,0.6,,-1.65,-3.3,-0.08,-0.95,-0.81,-0.31,-2,0.15,-1.47,1,6.89,-3,-2.5,-0.91,-2,1.54,-1.44,0.77,-0.47,-3,,1.38,-10,0.8,0.73,1.1,-0.3,1.26,-0.07,2.38,0.53,-4,-0.88,-3,14,-1,-5.5,2.1434630807,17,10,13,-7
St. Louis,Washington,-3,-1.41,0.19,-1,0.14,-0.82,-1.46,-1,-6.67,-2.08,,-1.22,-1.9,-1.68,1.4,-0.84,1.83,1,-4.94,-1.42,-2.6,-7.12,-1,-2.5,-2.71,4,0.92,-3.96,1.79,0.07,-3,,0.88,2,-3.3,0.76,0.8,-0.4,1.76,-2.94,-1.59,2.02,-4,-1,-4,3,2,-4.5,2.1553956302,24,9,13,-15
Arizona,Washington,-4,-4.87,-3.58,-4,-2.3,-2.89,-3.98,-2,-0.34,-3.09,,-2.06,-1.3,-3.32,-0.99,-1.4,0.21,-1,-6.22,-3.44,-9,-8.78,-3,-4,-4.7,1,-3.19,-6.75,-0.4,-1.79,-3,,-0.71,-3,-3.9,-1.4,-1.8,-2.4,-3.15,-4.97,-4.68,-1.28,-4,-3,-5,-2,0.01,-4.5,1.7057694004,17,13,14,-4
Atlanta,New Orleans,10,10.69,10.79,12,9.69,10.06,10.83,11,14.84,7.68,,9.82,11.1,4.75,11.89,9.83,9.47,9,13.91,11.91,11.01,9.54,12,10,13.47,6,11.37,10.07,9.44,13.56,10,,8.16,7,10.1,10.92,9,7.4,11.53,15.25,9.29,10,9,10.79,12,5,11,12.5,2.3575875678,17,36,14,19
Buffalo,New England,-4,-4.29,-2.08,-4,-1.59,-2.24,-4.82,-3,-3.17,-3.45,,0.08,0.1,-5.03,-0.01,0.53,1.21,-5,-1.53,-2.5,0.25,-3.6,-3,-4,-3.31,0.01,-6.78,-2.01,-1.09,-5.1,-3.5,,-1.07,-7,-2.4,-2.76,-4.1,-1.2,-1.57,-2.5,-8.31,-0.03,-4,-2.08,1,1,-1,-8.5,2.0784123387,35,7,14,-28
Carolina,Tampa Bay,6,6.65,4.58,6,7.45,7.2,6.1,11,10.5,7.6,,9.48,10,2.61,6.74,8.2,5.56,5,9.35,5.05,2.42,8.61,11,6,8.04,8,7.33,6.04,8.03,9.63,5,,4.08,7,6.6,6.92,4.8,8.8,7.24,9.36,4.1,7.42,4,7.24,11,4,6,13.5,2.0164737667,20,10,14,-10
Cincinnati,Cleveland,12.5,15.73,9.01,12,10.25,11.15,13.38,12,19,8.36,,11.08,12.1,7.41,9.92,12.96,7.83,14,12.25,9.02,12.5,10.79,12,12.5,13.35,7,17.74,14,8.75,17.14,12,,8.94,10,12,11.68,12.4,8.6,12.74,13.62,12.68,11.78,10,12,13,3,9,12.5,3.0245235651,20,23,14,3
Dallas,Kansas City,3,3.07,5.14,3,2.31,2.11,2.67,2,6.5,1.79,,2.05,1,1.46,3.76,2.91,3.19,2,5.47,3.25,5.5,7.65,1,3,4.78,-2,3.14,2.97,2.47,1.06,3,,4.65,-3,4.2,3.75,2.6,-0.6,2.56,6.55,1.85,4.41,1,2.31,-2,2,2,-1.5,2.0565220144,28,31,14,3
Denver,Baltimore,15.5,19.81,15.48,13,14.46,14.74,15.19,13,14.5,17.81,,13.79,16.2,8.61,13.57,15.45,10.15,14,19.1,12.29,20,26.15,17,15.5,17.79,4,17.98,22.06,16.45,19.92,14,,11,13,14.8,15.71,12.7,13.4,14.71,19.47,14.09,12.42,13,14.8,18,5,11,16.5,3.5820464206,10,12,14,2
Green Bay,Detroit,6,2.87,4.31,3,7.56,5.17,0.57,7,8.33,6.51,,3.66,5.7,0.67,6.34,7.76,5.15,4,9.96,4.73,6.5,9.74,12,6,6.25,7,0.05,4.53,5.22,1.65,5.5,,1.49,4,4.3,3.54,-0.1,6.2,3.22,7.71,3.47,7.27,4,5.15,10,6,6,3.5,2.7752067442,13,16,14,3
Jacksonville,Indianapolis,-8,-5.62,-1.8,-5,-4.91,-5.71,-3.37,-7,2.16,-8.69,,-8.9,-8.4,-6.31,-2.87,-6.73,-3.03,-5,-5.85,-0.64,-8.5,-6.59,-6,-7.5,-3.76,-3,-5.31,-6.26,-3.82,-6.21,-7.5,,-2.15,-14,-6.8,-3.96,-7,-3.8,-7.4,-5.07,0.12,-6.24,-12,-5.62,-9,1,-1,-9.5,2.865827359,26,18,14,-8
Minnesota,St. Louis,7,7.16,8.4,6,6.2,6.89,5.31,10,10.83,8.52,,8.13,8.8,4.23,2.38,10.61,2.68,9,5.68,6.71,7.81,7.41,8,7,5.06,3,8.54,5.77,10.11,10.89,7,,3.24,-3,5.6,6.26,5.3,10.8,4.22,4.11,7.2,8.52,4,6.71,11,14,5,10.5,3.1286023194,13,27,14,14
N.Y. Jets,Oakland,-3,-2.85,-0.5,-4,0.95,-1.92,-2.32,1,-13.83,-4.61,,-2.62,-2.9,-2.53,-2.28,-1.64,-1.12,-2,-2.13,-3.27,-6.37,2.8,1,-3,-3.2,9,-1.76,-3.89,-0.22,-4.18,-2.5,,-0.84,-6,-3.4,-2.55,-1,-2,-6.09,-4.43,-0.77,3.88,-5,-2.32,1,-8,4,-1.5,3.627206781,10,26,14,16
Philadelphia,N.Y. Giants,-9,-1.93,-2.39,-4,-0.49,-3.43,-4.8,1,-0.17,-6.41,,-6.63,-8.5,-0.97,-5.82,-4.74,-3.67,-5,-2.82,-1.37,-3,-6.87,-3,-8,-4.66,14,-0.97,-3.23,-1.24,-4.45,-3.5,,0.24,-10,-4.1,-3.84,-1.3,-5.5,-8.2,-6.28,-0.17,0.04,-8,-3.67,-4,-2,0.01,-0.5,4.0885465514,26,23,14,-3
Pittsburgh,Chicago,7,2.61,3.59,1,5.59,2.82,1.66,4,12,-2.29,,-1,2.8,0.42,-0.38,2.62,0.44,1,7.71,2.35,6.58,8.69,7,6,4.64,14,2.37,2.88,3.09,-2.28,4,,3.09,12,3.7,1.56,1.7,-0.9,-2.33,5.32,6.28,5.88,0.01,2.62,4,-4,6,6.5,3.9939912126,9,21,14,12
San Diego,Miami,12.5,17.27,12.6,13,13.24,13.87,13.3,14,20.83,18.22,,13.23,13.5,6.25,10.55,14.47,8.38,12,15.84,9.31,17.44,18.88,18,12.5,16.81,12,12.98,24.2,12.31,15.38,13,,8.74,16,13.9,13.76,9.4,12.1,15.2,19.49,9.31,11.75,12,13.5,16,16,11,18.5,3.8275557208,23,21,14,-2
Seattle,San Francisco,16,22.23,18.68,21,19.84,17.92,20.15,19,15.33,18.87,,16.96,19.5,11.09,17.56,18.92,14.83,21,22.82,17.28,23.01,30.39,20,16,22.68,10,22.77,23.35,17.83,25.51,16,,11.18,14,17.1,20.48,15.7,15.2,14.47,24.48,18.78,13.69,15,18.92,21,1,17,20.5,3.9441813411,3,41,14,38
Tennessee,Houston,5.5,8.62,9.45,8,4.5,5.59,6.09,6,10.17,4.9,,6.05,6.4,3.34,6.73,6.79,6.48,9,7.32,6.64,3.28,1.52,6,5.5,7.08,-1,9.42,8.12,4.32,9.48,6.5,,5.27,1,7.2,5.67,6.9,4.3,3.92,8.06,8.87,6.47,4,6.05,3,2,6,2.5,2.4478983305,10,13,14,3
Baltimore,Green Bay,3,3.7,2.53,1,1.43,1.83,3.41,2,3.5,0.11,,1.76,3,3.41,-2.58,0.5,-0.36,3,0.39,-0.35,-1.5,1.16,1,3,1.5,3,7.1,1.11,2.43,4.66,3,,4.02,-4,1.7,3.47,5.3,0.7,-1.75,0.06,4.33,4.15,-1.2,1.76,4,1,3,4.5,2.3287505534,3,48,15,45
