Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,linebemiss,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linegabrielle,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linevia,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linerout,linedok,linetsrelo,linest,linecovers,lineharm,lineherald,linewhatif,linewann,linetsr4,linedwig,linestd,week,hscore,rscore
Seattle,Chicago,5.5,-0.65,5.32,,4.54,3.33,5,5.63,5.86,-1.6,7.59,-0.98,5.56,10.5,-1.57,7.33,5,-0.65,3,0.95,3.87,6,5.5,1.77,0.01,-4.82,3.34,4.81,-0.79,6,8.5,0.16,1.5,-1.3,2.98,2.86,2.1,5,2.27,-4.51,-11.46,,7.5,3.15,-2.8,2.7,3,6.71,7,7.04,1.11,-4.34,0.5,3.48,,9.5,-4.83,1.78,1.05,3.3,3.2812810928,11,30,23
Arizona,San Francisco,10.5,10.28,9.15,11,15.77,11.41,12,11.12,9.69,9.4,13.82,17.04,8.02,12.74,15.89,8.9,11,8.4,7.5,6.48,7.55,13,10.5,,2.5,9.41,11.18,11.06,17.6,10.5,5.5,8.87,11.56,11.9,13.67,3.89,11.4,12,13.68,10.87,4.07,,15,11.3,11.3,13.4,8,13.56,20,8.95,9.8,13.6,-1.2,7.27,,11.3,15.76,15.38,9.36,18.4,4.0342369091,12,31,37
Atlanta,Indianapolis,-12.5,-15.64,-4.77,-14,-18.8,-13.22,-11,-13.18,-11.32,-20.6,-12.9,-20.24,-6.98,-14.51,-16.19,-6.81,-10,-20.24,-15.5,-24.69,-22.78,-17,-12.5,,-4,-12.21,-20.26,-11.26,-10.73,-11,-4.1,-7.71,-15.84,-16.5,-14.14,-11.49,-8.7,-8,-21.65,-17.92,-11.66,,-11.81,-12.21,-25.2,-14.5,-8,-18.97,-17.1,-6.77,-9.67,-13.79,-8.6,-3.53,,-7.8,-9.97,-21.78,-23.61,-21.4,5.5260814525,12,13,31
Carolina,New Orleans,-2.5,3.35,-2.65,3,-6.81,0.86,2,2.03,0.12,4,1.67,2.1,0.52,0.37,1.55,2.04,-3,-0.08,5,1.11,-19.24,1,-1.5,,2,2.76,4.38,-1.36,2.64,-3,-3.9,3.15,1.06,0.9,1.31,4.6,0.7,3,1.57,-13.55,-1.16,,0.78,1.55,1.3,1.1,2,2.58,3.2,2.68,3.08,1.86,-8.1,1.98,,-5,-3.03,1.24,-13.72,2.8,3.5230996434,12,6,31
Chicago,Denver,2.5,0.75,2.83,2,2.62,1.73,4,5.01,1.01,-0.2,1.37,-1.08,-4.98,4.75,1.93,4.84,1,3.25,4.5,-2.37,-5.74,3,2.5,,2,0,1.43,3.87,0.73,1,2.2,2.12,1.56,2,2.56,5.14,-0.1,3,5.27,-7.87,-1.3,,-1.31,2,1.5,2.6,4,6.35,1.8,6.06,3.36,-2.22,-4.7,1.22,,-0.9,-4.44,5.71,-4.31,3.7,2.5974893601,12,37,34
Cincinnati,Tennessee,-1.5,-4.45,-3.12,-4,-2.39,-1.38,4,2.31,-1.97,-4.6,-0.85,3.8,-2.81,-2.07,0.19,0.68,-3,-1.65,-3.5,-4.78,-5.41,4,-1.5,,-0.5,-7.92,-1.44,-1.47,-3.13,1,-7.4,-2.15,-2.54,-3.1,-3.34,0.18,0.7,-4,-1.3,-10.13,-6.64,,-2.1,-1.65,-6.2,-0.2,2,0.07,5.5,0.52,-2.81,-7.35,-6.5,-0.56,,-0.4,-4.97,-0.28,-7.87,0.3,3.0691949171,12,35,6
Cleveland,Houston,3,2.74,1.9,4,4.59,2.76,5,2.97,2.5,6.9,1.68,-1.66,2.77,2.44,2,2.8,5,2.16,3,2.12,9.74,3,3,,2,-0.37,5.8,4.81,6.64,4,6,2.29,2.26,1.9,5.22,0.32,1.1,6,3.46,8.5,-1.52,,0.59,2.77,-6.4,4.1,3,6.78,3.1,3.37,0.86,2.2,0.01,2.72,,0.4,-3.3,4.38,8.31,5.5,2.5934957574,12,27,17
Dallas,N.Y. Jets,14.5,20.65,13.85,20,14.37,15.9,14,13.55,12.55,24.4,15.32,17.21,11.23,14.85,19.11,11.29,17,12.78,17.5,18.82,10.97,18,14.5,,5.5,25,17.4,14.79,25.55,14,3.5,15.71,16.16,17.7,19.68,10.79,11.2,6,18.46,19.32,18.28,,18,16.16,31.6,14.9,12,19.29,15,12.11,16.01,28.61,-2.2,9.45,,8.4,26.39,18.82,18.15,19.6,5.782047268,12,34,3
Detroit,Green Bay,-3,-5.34,-7.05,-7,-6.79,-4.83,-3,-6.17,-8.1,-7.7,-3.22,-6.44,-5.24,-6.47,-5.28,-2.43,-5,-8.66,-0.5,-3.45,-6.98,-5,-3,,1.5,-6.17,-4.95,-2.77,-6.84,-3.5,-2.3,-2.18,-5.34,-5.8,-6.01,-5.27,-3.7,2,-8.97,-8.13,-7.12,,-2,-5.27,-11.9,-4.4,-4,-6.61,-7.4,-2.02,1.9,-8.63,-9.1,-1.47,,-6.3,-5.27,-8.03,-0.66,-4.4,2.9849459283,12,26,37
Jacksonville,Buffalo,8,8.69,11.18,8,10.19,8.13,10,9.6,7.03,11.1,8.13,6.58,7.32,11.26,6.43,7.74,5,9.74,8,12.6,3.63,11,8,,9,8.69,8.72,6.84,10.77,7.5,0.6,6.6,3.96,4.5,8.19,6.96,7.3,8,6.05,2.35,10.42,,14.5,8.01,10.6,5.2,10,8.8,8.8,8.01,6.65,7.23,8.3,3.54,,7.7,9.76,6.43,1.05,9.9,2.2707246614,12,36,14
Kansas City,Oakland,5,6.71,10.21,6,6.94,5.58,5,6.57,0.38,12.2,6.19,3.08,1.79,1.38,4.38,2.67,5,4.03,5.5,4.32,-5.12,7,5,,-1,8.68,4.82,9.36,11.05,6,3.6,6.31,3.96,3.9,8.26,5.58,5.1,7,4.5,-2.79,9.03,,0.75,5.1,9.8,6.1,6,6.18,8.3,3.4,5.97,11.02,0.9,3.21,,2.9,15.9,4.89,-8.89,6.2,3.6266591998,12,17,20
N.Y. Giants,Minnesota,7,7.2,2.35,7,7.13,5.72,7,7.97,7.12,7.7,6.21,8.56,7.94,6.57,6.66,5.48,7,6.1,5,7.16,12.44,9,7,,7.5,8.66,6.13,6.15,10.84,7.5,-1.5,6.77,4.26,4.6,7.19,5.99,6.3,4,4.99,16.65,8.92,,4.52,6.3,9.6,5.2,6,6.24,11.4,5.75,8.37,10.79,-3.9,4.51,,6.1,-5.25,5.4,11.77,7.1,2.5542122312,12,17,41
New England,Philadelphia,24,20.24,7.46,19,19.37,18.68,19,22.07,20.5,21.1,19.69,30.72,18.82,13.01,26.22,12.14,19,14.97,19,17.82,7.96,27,23.5,,6,18.85,23.3,16.76,24.18,22,8.7,13.49,16.06,21.4,19.61,13.94,16.2,13,24.35,26.37,11.19,,27,19,21.5,16,14,25.37,30,15.28,13.05,21.86,0.3,10.92,,20.7,24.59,25.68,25.7,28.9,6.4279358197,12,31,28
Pittsburgh,Miami,16,13.51,15.19,17,15.03,14.3,13,13.95,15.42,18.8,13.98,17.22,10.26,19.18,10.5,13.67,18,16.13,17.5,16.19,15.13,17,16,,10,16.95,15.45,15.42,20.47,16,2.2,10.99,13.16,11.5,16.57,11.83,9.6,21,15.31,19.24,11.57,,22,15.03,15.3,12.8,13,18.97,13.3,13.94,8.71,22.01,-0.2,8.47,,9.7,19.08,14.31,18.5,13.8,3.9179638347,12,3,0
San Diego,Baltimore,8.5,12.99,3.99,11,14.44,10.82,11,10.8,8.56,19.7,10.28,16.02,8.05,8.03,12.85,6.11,7,12.72,11,12.49,17.91,11,9,,-0.5,12.77,13.3,8.98,16.82,9,2.9,10.37,10.96,11.3,12.03,6,9.8,6,15.93,23.29,13.23,,10,11,5.4,11.1,5,15.38,15.1,6.82,10.96,13.37,3.1,4.29,,11.9,16.19,16.17,24.44,17.7,4.8407823773,12,32,14
St. Louis,Seattle,-3.5,-8.74,-3.32,-9,-9.74,-6.65,-2,-6.85,-8.55,-6.4,-11.36,-7.88,-1.28,-12.63,-5.55,-5.1,-6,-11.1,-10,-12.93,1.35,-4,-4,,-1,-5.92,-11.77,-3.06,-4.41,-3,-1,-3.87,-9.64,-9.6,-8.41,-5.99,-2.2,-2,-13.94,-8.92,-5.26,,1,-5.92,-11.9,-8,-3,-12.18,-5.8,-5.16,-4.04,-6.8,-3.4,-1.03,,-3.2,-5.11,-12.64,-4.67,-11.3,3.5955698521,12,19,24
Tampa Bay,Washington,3.5,1.89,6.13,3,4.27,4.71,8,7.1,6.31,2.7,6.89,10.66,5.68,8.68,3.36,6.38,6,0.32,3.5,7.7,7.29,8,3.5,,2,-0.3,3.98,6.53,5.63,3,3.8,2.01,0.86,0.2,3.83,3.82,5.9,5,0.48,0.86,-2.12,,2,5,2.6,2.9,4,5.29,9.1,6.3,5,0.21,-4.8,3.7,,9.5,8.38,1.23,3.88,4.9,2.8786373597,12,19,13
Arizona,Cleveland,1,-2.83,0.14,-2,0.73,-0.12,2,0.65,-2.81,-3.6,0.51,-1.19,-4.35,1.4,-1.29,2.95,-1,-3.56,0.01,-11.94,-5.4,2,1,-0.84,2,-2.2,-3.52,1.52,-6.95,1,-1.3,0.32,-2.41,-2.6,-1.54,1.96,-1.2,5,-3.3,-5.32,-4.69,,3,-0.7,8.2,-0.7,1,-1.42,-0.8,3.51,0.85,-2.96,4.5,2.95,,5.3,10.14,-3.33,-7.99,-0.4,3.0365462302,13,27,21
Baltimore,New England,-20,-26.15,-16.75,-23,-19.96,-20.2,-18,-19.45,-22.92,-25.6,-19.51,-27.45,-18.78,-15.01,-27.46,-10.49,-18,-23.97,-20.5,-27.66,-28.5,-22,-20,-26.15,-2,-25.26,-27.41,-14.41,-25.22,-20.5,-28.8,-12.47,-21.11,-26,-21.09,-10.69,-16.8,-22,-32.16,-30.36,-19.83,,-26,-21.3,-30.7,-17.1,-10,-27.38,-24,-12.35,-13.01,-29.87,-0.8,11.78,,-21.3,-18.24,-32.79,-31.79,-31.4,8.8678070785,13,24,27
Carolina,San Francisco,3,4.85,0.56,6,1.86,4.5,2,5.12,2.53,8.7,4.69,6.15,-0.1,4.63,2.99,4.43,1,2.71,10,2.31,-5.89,4,3,8.54,3.5,6,3.16,6.26,2.82,3,3.2,5.96,6.39,4.7,6.22,5.9,1.8,4,6.48,-6.52,2.72,,2,4.69,6.8,6.5,8,6.75,0.2,6.68,6.63,5.85,-1.1,-0.17,,-3.4,10.49,5.35,-5.93,6.4,3.0847641405,13,31,14
Chicago,N.Y. Giants,-2,-3.32,-4.03,0.25,-2.5,-0.58,3,2.04,-3.93,2.4,-0.12,2.77,-4.5,-1.25,0.87,1.09,-1,-2.52,-2.5,-6.67,-13.72,4,-2,1.61,-0.5,-1.94,-4.74,0.53,-5.13,-1,-3.4,0.93,-0.71,-1.2,-0.07,-0.23,1.7,-3,-1.02,-9.89,-3.23,,-2.36,-0.5,-6.5,1.8,2,1.48,4.6,-0.26,-0.82,-2.91,-1.2,4.3,,1.9,-3.07,-0.12,-15,0.7,3.4659521621,13,16,21
Dallas,Green Bay,7,5.4,-1.27,2,2.43,3.76,6,5.49,0.52,1.9,4.63,3.06,-0.96,2.16,4.5,2.59,3,4.34,5,6.92,-1.6,7,6.5,5.04,3,4.07,6.27,3.36,0.1,6.5,1,4.06,2.89,3.7,2.75,6.01,1.9,4,4.18,-1.82,4.01,,1.84,4,5.9,4.3,6,5.57,5.9,3.57,5.96,5.61,-1.5,2.03,,0.8,6.06,4.3,-1.61,6.7,2.2977169399,13,37,27
Indianapolis,Jacksonville,7,7.25,7.91,8,11.69,7.5,7,8.94,6.51,9.9,6.12,5.01,1.1,7.3,8.35,6.3,5,9.36,14,8.41,13.05,9,7,11.57,3.5,5.73,9.02,7.94,2.99,7,7.8,6.07,7.79,7.8,7.99,9.45,2.3,6,10.85,14.79,4.54,,8.79,7.91,20.4,8.1,8,12.8,3.9,8.09,6,6.13,7.5,0.08,,-2.1,8.33,10.14,14.73,9.7,3.6740442514,13,28,25
Kansas City,San Diego,-6,-6.4,2.18,-4,-5.82,-4.17,-6,-4.85,-7.56,-7.9,-4.81,-3.29,-6.16,-5.23,-5.45,-0.75,-4,-5.92,-2,-11.31,-5.74,-7,-6,-4.47,-1.5,-4.05,-9.01,-1.28,-8.05,-4,-6.9,-1.1,-4.61,-5,-3.03,-3.83,-5.9,4,-7.25,-4.26,-4.34,,-1.96,-4.61,-0.3,-4.7,-2,-5.73,-9.1,-0.05,-2.95,-4.72,-0.4,4.25,,-2.4,-1.74,-7.29,-10.36,-6.4,3.3053491296,13,10,24
Miami,N.Y. Jets,1.5,0.58,-0.08,-0.25,2.82,1.78,3,3.38,-1.6,1.3,2.91,4.8,-2.72,2.21,3.32,3.36,-3,-3.37,2.5,1.97,-1.47,4,1.5,3.91,-0.5,-5.84,2.36,0.83,-4.18,1,-0.1,1.2,0.99,0.9,1.23,-0.15,1.5,4,2.24,4.78,-7.45,,4.96,2.01,8.4,2.4,4,4.14,7.9,2.01,0.82,-9.41,0.2,2.48,,2,7.02,2.88,8.54,5.6,2.965940309,13,13,40
Minnesota,Detroit,4,1.65,3.54,3,9.41,4.46,6,6.64,5.87,6,3.04,7.78,4.15,3.57,7.67,3.89,5,4.51,2,-1.7,21.72,5,4,6.35,-3,1.41,1.87,3.94,0.98,3,2,3.13,3.99,3.3,3.44,5.74,4.9,5,5.21,22.16,1,,2.5,4.51,5.9,6.5,6,6.72,10.5,2.59,-0.97,1.29,3.1,3.13,,8.8,6.19,5.49,24.99,6.2,4.0619609944,13,42,10
New Orleans,Tampa Bay,3.5,-4.57,-4.24,-3,-1.19,-1.7,2,1.97,-4.1,-4.5,-2.75,0.47,-0.2,-3.45,-1.81,0.18,1,-3.26,-2,-4.37,-6.38,2,2,-2.46,-1.5,-3.49,-5.76,0.82,-6.56,3,-5.2,-0.73,-3.91,-4.2,-2.4,0.91,-0.8,4,-5.43,-5.36,-1.69,,-2.34,-2.3,-2.3,-2,4,-3.12,0.6,-0.84,-2.35,-4.34,4.5,4.53,,1.8,-6.78,-4.76,-7.49,-4,2.9887353845,13,23,27
Oakland,Denver,-3.5,-2.67,1.7,-2,-3.75,-1.27,-1,1.31,-1.82,-11.2,-1.87,-0.42,-3.77,3.82,-1.34,4.23,-2,-0.14,2,-1.7,-7.09,-1,-3,1.82,2.5,-5.35,0.07,-3.46,-7.68,-3,-2,-0.6,-1.81,-1.8,-1.1,0.91,-3.1,3,1.29,-11.8,-5.45,,0.16,-1.1,-4.1,-1.7,0.01,1.88,-2.3,5.39,-0.25,-6.04,-1.6,1.73,,-0.9,-7.22,1.11,-3.9,-0.3,3.1195938883,13,34,20
Philadelphia,Seattle,3,4.8,0.62,2,4.54,3.77,4,3.03,0.11,6.9,-0.22,1.86,0.57,-1.89,7.55,0.83,1,7,7.5,6.11,12.48,5,3,8.36,3.5,5.06,4.57,2.41,3.15,3,-4,5.02,5.19,5,3.12,1.63,3.1,4,7.05,8.64,5.29,,0.01,4,7.7,5.7,4,3.34,9.8,1.58,4.3,4.89,4.4,3.38,,-4.8,11,7.29,8.2,7.9,2.6523583178,13,24,28
Pittsburgh,Cincinnati,7,8.18,9.29,11,6.96,8.69,5,6.18,9.51,7.1,6.89,11.61,4.63,12.48,5.18,9.77,11,9,14,11.73,13.03,6,7,11.43,6,6.91,10.34,8.58,7.06,7,12.7,6.91,8.79,7.1,9.54,6.45,3.2,8,10.07,14.77,4.62,,15,8.87,13.7,8.9,8,11.07,2.9,11.46,6.55,7.37,8.5,-0.92,,7.3,12.58,8.87,14.25,9.9,3.0932857208,13,24,10
St. Louis,Atlanta,3,-2.87,2.89,-1,-1.38,-0.12,5,2.16,-3.73,-0.5,0.2,1.25,-0.2,1.2,1.31,2.81,-1,-2.15,-5.5,-5.94,-2.52,6,2.5,-0.13,-2,-3.72,-1.76,2.87,-3.43,3,-2.3,-0.05,-1.51,-1.9,-0.66,-0.71,2,2,-2.49,-4.09,-3.97,,1,-0.05,1.6,1.7,1,0.78,6.8,1.24,-1.35,-3.96,3.2,2.71,,3.6,-7.37,-0.74,-1.51,1.2,2.6108789643,13,28,16
Tennessee,Houston,3.5,3.84,7.96,5,5.8,2.63,3,0.98,1.08,9.2,1.63,-0.22,-0.23,1.98,-0.92,3.06,2,1.97,8,3.3,15.32,2,3.5,4.43,3.5,4.59,3.07,4.73,-0.58,3.5,-0.4,4.55,2.59,1.8,4.3,4.58,-3,5,1.75,15.97,4.13,,5,3,5.8,2.3,5,4.14,-6,4.37,4.34,4.6,4.6,1.68,,-4.3,-1.99,0.32,13.84,2.4,3.2644240091,13,28,20
Washington,Buffalo,6,4.33,8.7,5,7.2,5.81,4,4.81,5.29,9.9,5.28,1.01,1.99,7.18,4.91,6.16,3,10.84,7,3.45,10.76,4,6,9.05,8.5,4.55,4.18,1.15,1.06,5,6,4.95,4.69,4.6,5.43,2.45,1.6,6,7.97,3.08,6.36,,6.93,5.3,13.9,5.3,7,8.9,5,5.75,3.83,4.58,6.6,3.9,,9.2,5.3,8.28,9.72,8,2.6797886789,13,16,17
Atlanta,New Orleans,-3.5,-1.7,-0.57,-3,-7.37,-3.4,-4,-4.16,-6.5,-3.5,-4.89,-6.94,-1.07,-4.81,-5.17,-1.38,-2,-7.61,0.01,-3.5,-15.7,-6,-3.5,-2.45,0.5,-1.41,-2.25,-3.78,-5.89,-5,,0.12,-3.55,-4.4,-3.25,-0.26,-4,-3,-4.74,-5.45,-4.2,,-2.47,-3.38,-3,-5.9,-1,-4.15,-9.5,-1.09,-0.06,-2.17,-7.7,3.16,,-8,-2.35,-2.44,-13.31,-3.8,2.9885874289,14,14,34
Baltimore,Indianapolis,-8.5,-14.8,-7.78,-13,-7.29,-10.26,-9,-9.83,-8.09,-18.4,-12.81,-17.07,-2.47,-11.4,-12.63,-5.49,-10,-15.64,-12.5,-18.11,-9.45,-10,-8.5,-13.24,-2,-13.52,-16.32,-7.28,-11.55,-10,,-6.85,-12.65,-13.4,-12.12,-7.16,-9,-7,-15.53,-5.41,-15.47,,-11.5,-10.73,-19.7,-11.2,-5,-14.63,-9.1,-6.99,-4.77,-15.49,1.5,8.32,,-6.4,-10.26,-20.22,-8.99,-14.5,5.3091465791,14,20,44
Buffalo,Miami,7,8.16,5.05,10,4.7,6.52,8,5.92,5.47,14.6,6.88,4.96,6.45,3.14,9.41,3.42,10,3.38,7.5,3.75,-4.32,7,7,9.19,3,18.46,3.16,9.56,12.5,7,,10.08,7.95,7.1,10.74,3.91,8.5,4,5.26,-1.23,8.79,,-2.02,6.4,-2.3,8.9,3,6.36,12.7,4.77,5.26,23.18,-0.7,-3.72,,-0.6,13.84,4.39,-2.3,6.2,4.3558534982,14,38,17
Cincinnati,St. Louis,10,7.87,2.97,10,11.52,8.01,7,8.68,9.19,11.9,5.83,4.79,6.16,7.51,6.43,6.82,6,11.91,10.5,11.1,14.63,10,10,11.98,4,5.22,10.75,6.74,5.97,6.5,,6.61,8.35,7.1,8.27,8.59,3.6,5,12.47,2.99,5.74,,11.5,7.94,7.5,8.6,8,12.07,9,7.19,8.82,4.19,3.5,2.22,,4,6.43,11.81,13.02,10.3,2.7191847347,14,19,10
Denver,Kansas City,7,3.6,3.68,3,3.71,3.89,6,1.48,2.69,7,3.38,5.21,4.35,1.67,5.48,2.99,4,-0.09,4.5,5,-1.08,4,6,2.56,3,4.01,3.2,5.6,2.46,6.5,,4.17,2.75,1.5,2.54,-0.21,4.7,4,-1.19,-1.06,3.01,,1.74,3.9,0.8,3.8,4,0.33,5.7,1.78,4.57,4.22,4,2.15,,9.1,9.18,-0.07,-2.78,5.1,1.9383457991,14,41,7
Detroit,Dallas,-10.5,-12.13,-10.78,-12,-9.62,-9.95,-9,-12.61,-8.5,-11.4,-10.53,-13.47,-4.89,-8.47,-11.69,-4.77,-8,-14.72,-8.5,-13.7,-3.31,-12,-10.5,-10.6,1,-11.42,-13.22,-7.41,-13.22,-10.5,,-4.6,-9.05,-11.2,-9.55,-9.67,-9.6,-8,-14.58,-6.47,-12.63,,-12.5,-10.58,-22,-10.4,-8,-12.54,-18,-6.17,-1.73,-15.72,-6.8,6.87,,-10.8,-13.49,-10.55,-2.25,-14,4.8575007554,14,27,28
Green Bay,Oakland,10.5,13.94,6.75,16,11.26,12.66,12,12.26,10.64,25.7,12.23,16.68,9.44,10.35,12.11,8.14,14,14.47,13,10.5,11.68,12,10.5,17.61,3,15.7,12.42,13.81,16.18,10,,11.71,13.35,12.4,15.57,8.44,8.8,7,15.81,15.77,13.97,,16.5,12.56,22.4,12.7,11,16.64,13.5,9.64,9.97,17.35,4.1,-2.97,,4.5,19.26,17.62,14.28,16.1,4.8422796534,14,38,7
Houston,Tampa Bay,-3,-3.41,-3.66,-4,2,-2.69,-3,-1.54,-2.24,-7.8,-4.67,2.14,2.96,-4.36,-4.25,-0.48,-4,-5.64,-0.5,-3.75,6.67,-2,-3,-2.32,-2,-3.46,-3.35,-0.2,-6.11,-3,,-0.68,-3.15,-4.1,-3.3,1.95,-4.1,-3,-4.38,6.38,-4.71,,-1,-3.33,-2.2,-4.2,0.01,-4.14,-7.7,-0.83,-0.65,-5.96,2.8,3.65,,-3.6,-11.97,-3.8,5.3,-4,2.915858169,14,28,14
Jacksonville,Carolina,11,12.21,6.92,10,9.93,11.2,13,11.99,9.9,17.2,11.88,17.3,5.33,9.45,14.48,7.11,8,12,13,17.01,3.25,15,11,13.99,3.5,9.91,14.88,12.03,12.22,10.5,,9.17,11.25,10.6,10.93,4.75,12,11,13.02,2.8,9.35,,5.66,11.38,10.2,13.3,8,12.42,20.1,8.16,6.49,12.03,5,-2.65,,11.5,17.55,10.52,5.43,19.2,4.338307125,14,37,6
N.Y. Jets,Cleveland,-3.5,-4.47,1.3,-4,0.03,-1.05,1,1.27,-1.42,-5.8,-2.12,2.14,-1.9,-2.76,0.23,0.03,-4,2.72,-2,-5.75,4.17,3,-3,-0.99,-0.5,-4.92,-4.32,-2.5,-4.39,-3.5,,-0.38,-1.65,-2.4,-3.26,1.31,-0.1,-1,-1.76,4.34,-0.07,,-1.39,-1,2.1,0.01,1,-3.66,5.1,-0.07,-0.53,-5.4,0.1,6.69,,1.5,-2.95,-2.15,-2.02,-1.2,2.6110525487,14,18,24
New England,Pittsburgh,10.5,17.35,6.83,14,12.38,12.19,14,13.52,10.37,19,10.21,14.76,16.82,3.43,17.18,5.48,9,8.42,17,9.5,8.98,16,10.5,17.47,1.5,20.3,13.51,12.65,15.78,13,,11.3,10.65,13.9,14.14,11.05,8.1,7,16.39,28.66,12.95,,15.5,13.08,19.3,11.6,10,15.7,11.2,9.34,9.7,23.21,4,-2.59,,1.9,14.33,22.49,23.78,20.9,5.4341104024,14,34,13
Philadelphia,N.Y. Giants,3,-1.16,-4.06,0.25,0.43,2.24,3,4.2,2.83,3.4,1.2,4.08,0.08,1.7,2.59,2.87,1,2.18,1.5,-0.5,-5.57,7,3,4.24,1.5,-3.21,0.96,1.35,-2.1,3,,0.84,1.75,1,0.38,0.84,2.6,5,4.08,-7.1,-4.2,,2.7,2.24,7.4,3.4,4,5.21,9.8,3.09,2.55,-3.8,-0.5,4.06,,2.3,-1.23,1.37,-3.84,4.2,2.811494874,14,13,16
San Francisco,Minnesota,-8.5,-10.1,-6.36,-10,-9.51,-9.69,-5,-9.94,-8.26,-14.2,-12,-14.95,-2.04,-9.69,-13.39,-3.59,-7,-13.6,-8,-11.94,-5.32,-9,-8.5,-12.97,4.5,-8.62,-12.09,-3.57,-12.14,-7,,-5.24,-13.95,-13.7,-10.61,-1.44,-12.7,-9,-17.72,-14.67,-7.69,,-5.5,-10.05,-16,-14.1,-4,-12.33,-20.4,-5.07,-4.42,-11.58,-4.4,7.26,,-13.4,-14.3,-15.02,-14.95,-16.8,5.6636397241,14,7,27
Seattle,Arizona,7,5.53,7.23,7,11.54,6.02,7,7.01,6.82,6.5,5.82,3.52,6.96,6.83,5.55,6.03,7,6.01,5.5,8.06,8.04,8,7,8.16,0.5,4.78,6.3,6.63,6.17,6.5,,5.47,5.65,4.6,6.76,5.5,4.3,5,6.92,9.16,5.25,,11,6.44,7.2,6.7,7,8.33,8.6,6.38,5.46,5.49,4.5,0.83,,1,-1.82,4.58,8.09,7.3,1.868467249,14,42,21
Tennessee,San Diego,-1,-2.68,0.96,-2,-7.07,-2.99,-4,-5.98,-3.27,-3,-3.62,-2.18,-0.2,-2.32,-5.8,0.53,2,-5.58,-2,-7.75,-3.02,-9,-1,-3.51,2.5,-0.77,-4.86,-1.53,-4.98,-1,,0.58,-2.95,-4.5,-1.85,-1.82,-5.6,4,-7.48,0.72,-1.49,,0.89,-2.82,-1.7,-5.6,0.01,-4.23,-11.6,-0.04,3.07,-2.47,-1.8,2.13,,-8.8,-8.51,-5.6,-5.69,-7.7,3.3737611655,14,17,23
Washington,Chicago,3,1.07,5.42,2,1.19,2.88,1,0.74,2.39,3.2,1.93,-0.31,2.14,2.4,3.08,3.27,4,3.97,3,-0.75,-2.15,2,3,4.7,5.5,0.68,1.45,0.47,-1.8,3,,3.09,3.35,1.8,2.14,-0.77,1.2,4,3.26,-1.87,0.1,,3.32,3.04,7.2,3.4,3,3.78,6.1,3.58,3.19,0.23,-1.9,2.71,,2.1,8.98,4.63,-2.76,3.7,2.0683399758,14,24,16
Carolina,Seattle,-7.5,-5.88,-7.85,-6,-10.81,-6.75,-6,-3.54,-3.04,-2.2,-9.46,-10.14,1.13,-9.33,-8.04,-3.67,-9,-7.48,-3,-10,-6.26,-9,-7.5,-6.02,-0.5,-2.41,-10.2,-5.28,-3.19,-7,-12.9,,-5.46,-6.9,-5.8,0.3,-7.7,-8,-9.47,-8.6,-2.8,,-13,-7.59,-8.9,-9.2,-1,-8.35,-15.5,-4.42,-2.16,-5.35,-2.5,6.33,,-13.3,-3.2,-10.55,-10.29,-11.1,4.1158847699,15,13,10
Cleveland,Buffalo,5.5,3.98,5.71,5,3.42,4.75,6,6.91,10.16,2.5,3.73,8.48,8.59,6.93,2.88,5.87,6,5.56,5,6.75,2.7,5,5.5,5.24,4.5,0.99,7.1,4.09,1.37,5.5,5.6,,2.04,1.7,3.75,3.17,2.9,3,4.06,-7.65,2.03,,11.5,5,1.7,2.6,5,6.95,6.4,6.36,1.91,0.32,3.3,1.05,,10.2,-1.73,5.08,2.54,4.4,2.1962217279,15,8,0
Dallas,Philadelphia,10,14.1,6.99,15,8.31,10.35,11,11.36,12.55,13,11.86,13.35,9.78,8.52,10.98,7.43,12,11.09,12,11.97,7.63,10,10,12.84,2,17.56,11.28,10.13,14.67,10,10.2,,10.04,10.2,13.46,7.62,8.8,6,10.77,5.58,16.46,,16,10.99,12.2,11.9,8,11.41,10.6,9.44,5.6,22.19,-0.7,-3.66,,5.2,16.36,11.47,4.25,13.5,4.1032450424,15,6,10
Houston,Denver,-1,0.91,2.49,2,4.73,2.25,4,4.64,9.56,0.1,2.49,2.5,11.16,4.28,2.27,4.5,1,1.59,2.5,1,15.63,5,0,3.71,1.5,0.02,1.83,2.48,0.38,1.5,3.3,,1.84,0.8,2.21,3.99,1.7,4,2.26,22.3,-0.93,,-2.15,2.21,-6.4,1.6,1,4.55,1.5,4.87,3.91,0.26,2.3,-0.3,,1.1,-3.65,2.25,17.94,0.3,3.6049934542,15,31,13
