Week,Day,Date,,,Winner/tie,,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,spread
13,Sun,December 6,box,W,CIN,,DET,23,13,321,3,245,2,-13.5
13,Sun,December 6,box,W,SD,@,CLE,30,23,477,0,372,1,-13.5
13,Sun,December 6,box,W,IND,,TEN,27,17,358,0,375,2,-6.5
13,Mon,December 7,box,W,GB,,BAL,27,14,350,3,185,4,-3.5
14,Thu,December 10,box,W,CLE,,PIT,13,6,255,0,218,0,9.5
14,Sun,December 13,box,W,HOU,,SEA,34,7,450,2,282,1,-7.0
14,Sun,December 13,box,W,MIA,@,JAX,14,10,354,3,217,0,2.0
14,Sun,December 13,box,W,PHI,@,NYG,45,38,374,1,512,4,-1.0
14,Sun,December 13,box,W,NYJ,@,TB,26,3,310,1,124,3,-3.5
14,Sun,December 13,box,W,TEN,,STL,47,7,446,1,240,5,-14.0
14,Sun,December 13,box,W,WAS,@,OAK,34,13,295,1,227,1,-2.0
14,Sun,December 13,box,W,BAL,,DET,48,3,548,1,229,2,-14.0
14,Sun,December 13,box,W,SD,@,DAL,20,17,341,1,347,0,3.5
14,Sun,December 13,box,W,IND,,DEN,28,16,312,3,357,1,-6.5
14,Sun,December 13,box,W,MIN,,CIN,30,10,322,1,210,1,-6.0
14,Sun,December 13,box,W,GB,@,CHI,21,14,315,2,254,2,-4.0
14,Sun,December 13,box,W,NE,,CAR,20,10,377,3,305,0,-12.5
14,Sun,December 13,box,W,BUF,@,KC,16,10,273,3,354,4,-2.5
14,Sun,December 13,box,W,NO,@,ATL,26,23,391,0,392,1,-10.0
14,Mon,December 14,box,W,SF,,ARI,24,9,327,2,245,7,4.0
15,Thu,December 17,box,W,IND,@,JAX,35,31,369,1,345,1,-3
15,Sat,December 19,box,W,DAL,@,NO,24,17,439,0,336,3,7.5
15,Sun,December 20,box,W,PHI,,SF,27,13,422,2,261,4,-7.5
15,Sun,December 20,box,W,TEN,,MIA,27,24,364,2,468,4,-5
15,Sun,December 20,box,W,HOU,@,STL,16,13,419,2,237,2,-14
15,Sun,December 20,box,W,PIT,,GB,37,36,537,0,436,0,-3
15,Sun,December 20,box,W,OAK,@,DEN,20,19,343,2,337,0,14
15,Sun,December 20,box,W,TB,@,SEA,24,7,339,1,380,5,6.5
15,Sun,December 20,box,W,ARI,@,DET,31,24,340,3,282,3,-14
15,Sun,December 20,box,W,CLE,@,KC,41,34,417,3,491,1,2.5
15,Sun,December 20,box,W,SD,,CIN,27,24,366,2,407,1,-7
15,Sun,December 20,box,W,BAL,,CHI,31,7,346,1,220,6,-11
15,Sun,December 20,box,W,CAR,,MIN,26,7,397,0,237,2,8.5
15,Sun,December 20,box,W,NE,@,BUF,17,10,224,1,241,1,-7
15,Sun,December 20,box,W,ATL,@,NYJ,10,7,238,0,314,3,5.5
15,Mon,December 21,box,W,NYG,@,WAS,45,12,387,0,302,3,-3
16,Fri,December 25,box,W,SD,@,TEN,42,17,425,1,270,3,
16,Sun,December 27,box,W,CAR,@,NYG,41,9,416,0,317,4,8
16,Sun,December 27,box,W,TB,@,NO,20,17,439,2,373,1,14
16,Sun,December 27,box,W,NE,,JAX,35,7,464,1,275,2,-10
16,Sun,December 27,box,W,HOU,@,MIA,27,20,406,1,363,1,2
16,Sun,December 27,box,W,PIT,,BAL,23,20,286,2,323,3,-3
16,Sun,December 27,box,W,SF,,DET,20,6,310,1,289,6,-14
16,Sun,December 27,box,W,PHI,,DEN,30,27,394,3,241,1,-7
16,Sun,December 27,box,W,DAL,@,WAS,17,0,393,1,208,1,-7
16,Sun,December 27,box,W,ARI,,STL,31,10,407,1,238,4,-15
16,Sun,December 27,box,W,NYJ,@,IND,29,15,293,0,286,2,4
16,Sun,December 27,box,W,CLE,,OAK,23,9,282,1,389,3,-3
16,Sun,December 27,box,W,ATL,,BUF,31,3,391,0,178,3,-9
16,Sun,December 27,box,W,GB,,SEA,48,10,417,0,291,4,-14
16,Sun,December 27,box,W,CIN,,KC,17,10,274,1,295,2,-14
16,Mon,December 28,box,W,CHI,,MIN,36,30,363,1,423,2,7
17,Sun,January 3,box,W,SD,,WAS,23,20,364,1,341,0,
17,Sun,January 3,box,W,SF,@,STL,28,6,329,0,109,0,
17,Sun,January 3,box,W,BAL,@,OAK,21,13,330,0,325,2,
17,Sun,January 3,box,W,TEN,@,SEA,17,13,304,2,309,1,
17,Sun,January 3,box,W,MIN,,NYG,44,7,487,0,181,2,
17,Sun,January 3,box,W,PIT,@,MIA,30,24,403,2,303,3,
17,Sun,January 3,box,W,HOU,,NE,34,27,439,1,317,2,
