HOME,ROAD,LINE,LINESAG,LINEPFZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINERAY,LINECPA,LINEMASS,LINEMORE,LINEDUNK,LINEEFF,LINEMCMC,LINEPYTH,LINEED,LINEAVG,LINEJFM,LINEPIG,LINEELO,LINEARGH,LINEPFZH,LINEBIHL,LINEBURD,VSCORE,HSCORE,WEEK
Arizona,Philadelphia,-3,-5.21,-7.67,-15.49,-15.18,-15.61,-3.93,1.16,-4.8,-9.16,-4.05,-7.03,-7.6,-4.4,-19.43,-11.63,-7.79,-7.79,-6.27,-2,-6.52,-5,-8.01,-9.99,,33,14,7
Buffalo,San Diego,10,10.22,25.29,13.77,22.02,13.23,18.26,13.94,14.3,15.54,10.69,11.92,14.9,7.8,13.88,13.08,13.92,13.64,9.88,14,13.92,11,24.51,17.37,,24,27,7
Chicago,Minnesota,-6,-13.04,-20.42,-17.77,-23.48,-17.47,-18.93,-16.41,-13.9,-18.21,-8.94,-12.54,-15.2,-7.1,-15.06,-15.66,-13.3,-14,-9.66,-7,-15.07,-16,-21.53,-16.41,,28,16,7
Denver,Cleveland,12.5,8.25,20.08,16.3,22.64,15.57,14.84,8.5,20.3,10.55,13.79,15.6,18.1,11.2,18.25,17.55,17.54,14.88,9.41,17,14.97,9,20.13,17.03,,10,44,7
Green Bay,San Francisco,4.5,3.27,-0.5,6.05,18.74,6.02,7.77,3.44,9.1,1.41,6.27,7.19,2.6,6.6,10.71,7.27,7.98,5.99,7.81,9,5.71,4,0.29,8.7,,28,31,7
Kansas City,Oakland,2.5,0.09,5.75,3.33,-17.35,3.47,2.09,1.6,5.7,-0.99,3.01,-0.06,3.6,2,1.33,2.47,2.42,2.25,2.31,0,3.4,-0.25,4.96,3.47,,20,17,7
N.Y. Giants,Dallas,4,5.11,14.4,8.48,-3.67,8.63,11.91,7.74,4.3,3.89,5.63,9.82,7,8.6,9.71,11.69,4.38,7.84,7.7,3,8.9,5,15.09,11.69,,14,19,7
New England,N.Y. Jets,3,0,7.4,2.54,-14.23,2.52,1.01,-2.6,1.9,6.62,3.19,0.78,8.7,5.1,-3.56,1.13,2.58,2.8,9.69,3,5.86,-2,8.39,4.39,,34,14,7
New Orleans,Carolina,0,-2,1.76,-4.75,-21.81,-4.05,0.79,1.3,-5.9,-4.92,-1.34,-0.99,-0.7,-0.6,3.57,-5.09,-3.43,-0.94,12.54,-3,-0.25,-2,1.26,0.61,,6,24,7
Pittsburgh,Cincinnati,8,10.41,26.7,16.09,6.49,15.78,17.43,13.4,14.9,15.09,15.01,12.12,27.1,12.6,11.77,23.92,16.26,16.54,11.14,14,23.06,9,25.84,21.07,,0,15,7
Seattle,Indianapolis,-5.5,-6.09,-7.46,-13.08,6.87,-12.86,-7.53,-3.1,-5.7,-7.22,-2.24,-4.78,-11,-6,-10.04,-9.43,-3.31,-7.18,-4.84,-6,-4.8,-8,-11.52,-8.99,,37,24,7
St. Louis,Atlanta,18,10.2,18.04,18.76,23.34,18.4,17.47,14.55,25.3,22.82,15.4,16.6,23.7,17.3,19.56,22.79,21.25,17.68,16.01,18,16.33,17,18.18,19.77,,29,45,7
Tennessee,Jacksonville,6,5.96,14.9,5.53,9.77,4.71,12.72,15.24,10.4,11.09,7.23,2.59,12.9,5.9,9.28,12.33,9.34,9.49,10.67,7,9.12,8,13.5,11.3,,13,27,7
Washington,Baltimore,3.5,-1.66,4.3,-3.71,5.78,-4.05,0.15,6.19,3.9,-1.86,0.2,-1.61,5.7,-1,-3.72,-7.86,0.83,-0.25,1.75,3,-0.73,-3,4.06,-2.56,,3,10,7
Atlanta,New Orleans,-1.5,-2.43,-6.3,-9.52,-3.57,-12,-0.77,4.16,0.3,-6.22,0.51,-1.62,-5.8,-2.3,-8.26,-7.11,-4.34,-4.07,-11.8,2,-2.94,-3,-5.85,-2.2,,21,19,8
Baltimore,Tennessee,1,-1.4,-0.02,-0.91,13.31,-1,0.04,0.21,-0.9,2.96,1.62,4.38,0.3,5.7,-0.83,5.72,3.41,1.35,2.63,2,3.56,-0.25,1.06,4.15,,14,6,8
Carolina,San Francisco,3,1.86,1.03,3.27,0.05,-7,4.84,3.66,5.2,-2.48,4.66,5.61,0,2.4,2.96,7.09,6.38,3.19,6.36,5,3.58,3,-1.02,5.64,,16,34,8
Cincinnati,Denver,-10,-14.28,-18.05,-25.48,-30.11,-30,-14.63,-5.95,-16.8,-15.45,-12.84,-11.29,-16.4,-13.9,-23.15,-18.74,-18.94,-16.04,-10.12,-15,-18.15,-14,-19.55,-18.44,,21,31,8
