Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,linefolk,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linegrn,linecoff,linensr,lineesp,linereister,linetsr,linetsrslots,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linetsrelo,linest,linecovers,lineherald,linewhatif,linewann,linetsr4,linedwig,linejwilson,linegametime,linecover81,linecrunch,linegpa,linelinx,linecombo,linegirl,linestd,week,hscore,rscore
Baltimore,Cleveland,2.5,7.1,11.31,6,,3.34,0.01,2.87,-1.86,3,8.63,3.27,0.19,23.14,3.27,12.22,4,-3.54,9,-1.45,7,0.01,2.5,,0.01,7.42,6.77,2.6,0.6,1.5,1,,,,,2.37,3.8,-2,,,7,,-10.95,3.27,6.7,1.5,5,9.78,2.9,4.97,7.35,,5.6,0.8,7.5,3,-5.12,,6.6,0.4,1.2,4,5.9,-13,-2.87,0.01,6.16,5.014505754,3,28,10
Buffalo,Oakland,9.5,10.65,10.84,8,,10.81,8,14.23,11.38,10,10.5,10.32,10.24,18.54,11.22,13.61,9,13.3,15,11.08,-7.42,12,9.5,,3.5,10.39,11.09,11.67,13.97,9,8,,,,,11.32,12.3,9,,,7,,9.74,10.5,8.2,15.5,8,13.04,15.8,7.57,14.08,,3.2,12,8.8,14,9.54,,21.6,6.1,9.3,7,8.7,8.5,18.9,16.56,13.43,3.7130601818,3,24,23
Chicago,Tampa Bay,3,9.94,3.98,7,,4.45,2,9.53,0.3,4,6.25,7.4,1.46,3.7,11.15,3.59,3,-4.22,8,-7,7,7,3,,-1,10.03,10.2,9.92,8.87,3.5,-5,,,,,8.64,3.5,6,,,-8.16,,0.98,3.98,13.2,13.5,-1,8.96,14.2,7.23,6.69,,-0.6,4.4,3.9,-3,4.99,,2,-0.3,2.3,1,-1.3,-5,11.97,10.75,1.64,4.3406354522,3,24,27
Denver,New Orleans,5.5,9.78,6.41,6,,6.38,3,5.43,0.3,1,6.5,3.44,0.06,10.58,7.02,8.4,7,7,14,7,7.89,3,5.5,,0.5,9.65,9.95,5.16,10.35,4,4,,,,,5.29,5.7,7,,,12.37,,15.34,6.56,14.2,9,4,10.87,7.1,6.93,9.89,,-4.5,5.3,9.2,5,0.27,,9.5,4.6,3.7,6,9.5,1.5,7.69,6.56,3.19,3.9015926166,3,34,32
Green Bay,Dallas,-3,1.17,-0.95,2,,-0.39,-1,2.16,-4.21,-11,2.25,0.77,-4.16,4.49,0.83,4.68,1,-1.83,-5,-2.57,0.17,3,-2.5,,-2,1.42,0.94,3.02,-4.05,-3,-2,,,,,2.1,-0.2,-5,,,2.05,,-2.38,0.6,-12.4,0.8,0.01,-0.26,4.7,1.63,0.77,,-7.5,2.2,0.9,-6,-0.95,,-2.7,1.1,2,0.5,0.6,4,1.8,1.98,-1.27,3.703911417,3,16,27
Indianapolis,Jacksonville,5,6.95,3.43,5,,3.26,5,4.19,0.31,3,1.71,3.43,2.87,3.04,2.72,4.16,5,-13.36,-1,-11.25,-7,3,5,,2,9.41,5.12,1.91,5.82,6,4,,,,,3.5,1,8,,,-8.7,,5.48,3.43,0.4,4.4,2,11.68,1,4.1,3.41,,4.2,4.5,1.4,11,3.82,,-4,5.6,3.2,3.5,1.5,6,5.9,5.05,10.52,2.8912729272,3,21,23
Minnesota,Carolina,3,-0.94,-3.57,0.25,,-0.37,4,3.99,-1.65,1,-5.19,6.44,-7.02,-2.88,-3.34,-0.36,1,-9.26,-5,-5.14,2.07,6,2.5,,1,-2.43,0.5,-0.29,-2.14,3,-1,,,,,5.1,-5.4,4,,,-13.07,,5.5,-0.36,-9.6,-9.7,1,-8.11,-1.2,1.41,0.92,,-2.8,-3,0.5,7,12.58,,-8.5,7.5,1.3,4,2.3,9,-8.18,-2.09,1.64,4.4263065017,3,20,10
N.Y. Giants,Cincinnati,13,14.44,11.8,9,,13.44,12,11.67,14.59,3,10.75,12.13,13.25,27.39,18.86,17.64,13,7,20,5.09,-5.46,14,13,,3,14.18,14.8,9.69,22.96,13,10,,,,,9.52,12.9,11,,,7,,12.63,13,19.4,17.9,10,20.08,19.1,9.69,15.18,,-3.8,15.3,18.2,27,14.91,,21.9,5.7,8.9,13,10,13,17.14,14.41,12.79,5.8539977334,3,26,23
New England,Miami,12.5,20.52,5.89,14,,14.76,18,24.33,8.97,17,10.75,20.65,10.03,22.96,22.52,12.81,17,-5.75,15,-7,-3.06,25,12.5,,7.5,23.92,19.29,21.08,18.11,13,14,,,,,23.58,11.9,11,,,-1.56,,13.11,14,15.9,17.1,11,25.56,23.9,12.33,20.94,,7.5,13.1,9.4,13,28.5,,13.3,17.1,10.4,12,7.6,17,32.2,28.27,21.3,5.9703139991,3,13,38
Philadelphia,Pittsburgh,3.5,3.62,1.28,2,,3.18,3,4.58,0.91,-4,2,5.61,-1.17,0.91,3.53,-1.07,2,3.13,14,-4.08,7,2,3.5,,3,1.54,6.2,4.52,5.5,3,3,,,,,4.47,3.2,4,,,3.2,,3.14,3,13.2,7.3,3,0.02,3.6,4.78,1.02,,-1,0.1,2.3,5,7.29,,7.1,2.2,2.8,5,1.9,3,5.94,5.26,-4.14,2.9460784943,3,15,6
San Diego,N.Y. Jets,8.5,9.67,-3.6,6,,7.36,7,10.59,5.19,18,1.99,12.46,4.25,3.87,8.71,4.4,7,1.18,13,-3.5,-7,13,8.5,,3,8.94,10.45,9.26,12.54,7.5,8,,,,,11.69,4.4,6,,,-5.74,,10.37,7.7,10.5,13.3,5,5.99,13.5,7.27,11.58,,5,4,4.1,5,10.7,,7.7,9.9,7.8,9,9,20,11.45,11.02,-4.11,3.9868584932,3,48,29
San Francisco,Detroit,5,3.53,8.34,2,,4.2,6,6.33,6.86,-1,2.77,1.77,7.18,9.5,6.02,10.08,5,9.28,14,-6.41,3.93,7,5,,0.01,2.94,4.17,6.72,4.31,5,-3,,,,,5.68,6.1,1,,,4.27,,4.47,4.17,4.3,9.7,2,7.05,10.4,3.55,2.87,,-2.1,6.2,-1.5,11,-1.32,,5.8,2.7,3.8,3,3.2,1,10.6,8.47,0.43,3.0113503919,3,31,13
Seattle,St. Louis,9,8.02,13.8,6,,9.41,8,13.37,4.81,7,2.25,13.21,2.2,8.8,6.87,16.23,9,10.6,18,7,7,14,9,,5.5,7.38,9.54,12.17,7.7,9,7,,,,,13.13,6.8,13,,,1.68,,9.87,9,1.4,5.8,10,18.84,14.6,6.65,12.33,,3.5,5.9,13.5,14,15.18,,15.4,9.9,7,8,11.2,15,13.15,13.26,2.55,4.5178744883,3,37,13
Tennessee,Houston,4.5,10.05,15.78,6,,8.98,9,9.52,7.19,-6,8.62,7.86,4.02,25.93,10.41,18.84,8,4.37,16,0.46,7,7,5.5,,1.5,8.87,11.34,6.94,11.32,6,6,,,,,8.36,9.4,8,,,10.27,,5.75,8.62,18.5,12.4,7,14.11,10.2,7.65,10.15,,0.4,10.3,-2.3,10,5.96,,17,3.3,7.4,5,9.2,8,12.98,11.25,10.67,5.1121893128,3,31,12
Washington,Arizona,3,5.16,-0.29,4,,2.15,4,4.1,3.68,3,-2.41,5.2,5.62,-10.47,3.32,-6.11,-1,-7,-3,-7,-7,3,3,,3,6.7,3.66,4.37,6.89,3,-2,,,,,5.8,-2.6,5,,,-4.5,,2.94,3,1,3,3,1.1,4.4,3.37,1.99,,1.9,4.4,1.9,3,10.92,,-2.4,4.9,0.8,3,7.5,5.5,5.68,4.89,4.36,3.826920152,3,24,17
Carolina,Atlanta,7,8.05,1.72,4,1.71,4.45,8,9.56,1.68,9,1.19,9.99,2.65,-3.96,9.32,4.75,3,6.73,,-3.43,7,8,7,,6,8.6,7.57,8.15,7.64,7.5,-10,,10.3,,,9.8,4.9,3,,,10.17,,-3.82,5,5,7.4,4,-6,9.5,0.77,3.62,,-4.3,8.6,4.3,15,10.8,,5.1,-5,7.3,7,1.2,,11.77,10.67,7.29,4.2250660296,4,24,9
Chicago,Philadelphia,-3,-0.44,-6.07,-0.25,-6.66,-2.49,-3,-0.01,-5.68,-10,-0.11,0.35,-5.03,-3.27,-2.05,2.78,-4,-3.19,,-0.71,3.6,-1,-3,,-1,-0.67,-0.45,0.39,-5.62,-2,-5,,1.3,,,0.14,-2.1,-6,,,-7,,-4.35,-2.05,-7.4,-3.1,-4,-7,0.1,0.29,0.09,,-5.9,-3.8,1.6,-10,-2.89,,-1.3,-3.7,0.6,-3,-1.2,,-2.51,-1.26,-1.84,2.7724777645,4,24,20
Cincinnati,Cleveland,3,6.41,1.18,4,4.24,3.5,2,0.74,2.17,4,4.6,5.55,-5.69,6.66,7.1,3.32,4,0.64,,1.29,13.29,3,3,,-2,5.29,7.43,2.03,4.51,3,1,,8.3,,,1.9,4.1,6,,,-1.05,,1.92,3.4,2.6,2.8,5,7.33,8.9,4.27,5.88,,1,3.4,1.6,3,6.58,,6.1,6.9,2.5,1,3.3,,1.49,1.11,-2.63,2.9777530552,4,12,20
Dallas,Washington,11,10.18,7.19,8,13.07,9.4,10,9.36,8.52,3,6.71,15.31,6.56,9.03,10.84,8.59,10,10.97,,7,7,10,11,,4,9.94,10.48,6.77,11.99,10.5,9,,7.4,,,7.76,8.5,5,,,10.04,,11.67,9.86,10.5,8.5,9,13,10.1,5.84,7.11,,1,6.2,14.2,13,9.86,,10.5,12.3,10.2,9.5,7.3,,8.23,8.8,11.01,2.7318561927,4,24,26
