HOME,ROAD,LINE,AVG,STD,T,EFF,LINETODD,LINESAG,LINEPZ,LINEL2,LINEL2H,LINEL1,LINESCRP,LINEFLY,LINEED,LINEMCMC,LINEMASS,LINEMORE,LINEPYTH,LINEEFF,LINECPA,VSCORE,HSCORE,WEEK
Philadelphia,Dallas,-9.5,-16.31,7.84,-0.87,-9.4,-12,-12.24,-13.69,-27.51,-29.99,-26,-15.07,-9.55,-14.46,-24.71,-18.42,-1,,,,10,13,5
St. Louis,San Francisco,,3.81,7.08,,11.7,14,4.62,5.92,9.74,-55.99,3,5.57,-1.69,3.88,11.96,9.63,2,,,,20,42,5
Tennessee,Baltimore,7,6.57,4.1,-0.1,6.4,8,3.66,6.35,7.06,-115,12,7.85,5.42,5.2,5.53,9.98,-3,,,,11,14,5
Arizona,Washington,-3,-10.14,8.72,-0.82,-6,-8,-2.94,-6.3,-16.14,-14.21,-20,-0.61,-5.01,-4.28,-21.34,-25.14,-7,-4,,,24,10,6
Atlanta,St. Louis,,-11.37,6.09,,-12.7,-21,-11.94,-17.65,-11.63,17.15,-20,-12.86,-3.94,0.3,-12.56,-15.05,-16,-5,,,41,13,6
Buffalo,Oakland,3.5,6.72,6.04,0.53,5.7,5,3.75,8.7,5.94,27.65,17,9.31,0.41,8.65,-6.53,8.5,7,10,,,20,14,6
Chicago,Philadelphia,6.5,9.77,5.66,0.58,6.7,5,3.53,12.43,11.14,29.71,5,9.11,3.01,11.57,23.5,9.96,9,8,,,20,16,6
Cincinnati,Pittsburgh,-5,-8.6,5.39,-0.67,-5.3,-9,-4.7,-6.29,-16.99,-61.54,-11,-4.18,-1.54,-12.16,-16.76,-4.19,-12,-6,,,17,3,6
Denver,Green Bay,-3.5,-5.46,5.98,-0.33,-2,-9,-3.39,-8.45,-8.38,33.08,-6,-3.32,-6.81,3.05,-20.19,1.13,-4,-5,,,10,31,6
Detroit,Minnesota,-3.5,4.73,6.37,1.29,2.5,9,3.19,8.2,2.65,-12.44,11,8.66,12.57,-3.13,4.86,7.8,4,-9,,,23,25,6
Jacksonville,Cleveland,17.5,24.48,8.68,0.8,17.2,30,10.98,36.92,30.81,33.35,23,19.79,9.89,27.82,33.36,26.48,27,22,,,7,24,6
N.Y. Giants,Dallas,-3,-9.89,5.89,-1.17,-6.6,-9,-4.38,-6.26,-13.96,21.02,-20,-3.25,-8.36,-9.2,-19.63,-7.95,-12,-5,,,10,13,6
N.Y. Jets,Indianapolis,-2.5,-6.86,9.77,-0.45,-5.6,-9,-4.99,-3.21,-19.47,-15.54,-23,-4.61,-10.32,6.28,-14.82,-5.58,-6,9,,,16,13,6
New England,Miami,2,-0.54,4.49,-0.56,3.1,-2,-0.95,0.7,-4.27,-6.98,-7,1.44,10.41,-2.31,-1.56,1.39,-2,-3,,,31,30,6
New Orleans,Tennessee,-3,-2.67,5.01,0.07,0,0,-2.61,-0.34,2,-49.78,-6,-3.66,-4.36,-3.29,5.72,-1.12,-3,-14,,,24,21,6
San Diego,Seattle,-1.5,2.85,7.21,0.6,5.6,12,2.9,5.86,5.83,-3.88,17,5.77,-5.08,-5.61,-4.82,6.2,7,-5,,,10,13,6
San Francisco,Carolina,5,1.94,8.33,-0.37,-2,2,1.94,7.74,-9.5,59.13,-8,7.99,7.48,6.98,-8.77,3.29,-4,15,,,31,29,6
Baltimore,Kansas City,-1,-6.35,4.9,-1.09,0,-4,-3.89,-11.16,-13.96,10.65,-9,-4.15,-7.66,0.27,-13.98,-1.31,-4,-2.25,,,35,8,7
Carolina,Detroit,4.5,0.08,4.4,-1,4.3,1,-1.06,-3.62,-4.2,-0.59,-2,-1.07,-4.94,4.44,-4.79,6.73,5,5.19,,,24,9,7
Dallas,Washington,2.5,0.52,2.73,-0.73,4.8,-4,-1.14,0.48,-4.22,-1.4,-0.86,-0.42,-1.55,4.21,-0.39,0.99,2,5.39,,,20,38,7
Indianapolis,Cincinnati,10.5,17.89,5.58,1.32,13.8,14,9.27,15.06,28.4,20.6,16.57,16.55,11.64,16.06,26.53,19.12,19,17.31,,,10,31,7
Miami,Philadelphia,9,11.35,3.66,0.64,8,16,4.8,14.95,10.91,-0.7,4.86,12.39,13.66,14.45,10.11,11.94,14,11.54,,,13,16,7
Minnesota,San Francisco,7,3.65,4.93,-0.68,5.7,-2.3,-1.56,1.29,10.65,22.67,0.29,0.2,-3.74,8.52,10.23,0.92,5,7.13,,,16,40,7
N.Y. Giants,New Orleans,3,2.47,2.74,-0.19,6.2,14,1.13,5.45,3.71,-0.57,0.57,6.65,3.59,-1.83,2.99,2.77,2,-1.09,,,3,31,7
New England,Denver,3.5,5.74,3,0.75,0.8,-2.5,3.2,3.71,3.92,4.22,9.86,8.01,4.67,0.16,3.54,7.76,9,8.09,,,23,24,7
Oakland,N.Y. Jets,6.5,6.18,4.82,-0.07,6.3,16,1.1,15.28,5.83,12.41,8.71,5.5,5.1,-2.72,6.03,5.06,8,8.87,,,23,24,7
Pittsburgh,Atlanta,5.5,9.88,6.06,0.72,11.7,21,3.11,20.31,11.13,-1.98,8.86,9.56,1.55,3.77,8.59,9.14,14,17.37,,,9,13,7
San Diego,Green Bay,-3,10.69,5.12,2.67,9,13,4.79,15.44,12.8,17.25,13.86,11.26,11.56,-2.1,11.76,10.87,13,13.08,,,31,3,7
Seattle,Buffalo,2.5,2.23,1.88,-0.14,1.9,1,-0.65,2.76,0.67,14.5,5.29,2.49,1.3,1.47,1.27,2.78,5,0.91,,,16,26,7
St. Louis,Cleveland,19,25.79,7.1,0.96,22.2,40,16.14,34.02,30.22,22.36,27.29,23.52,10.28,23.86,28.83,29.18,29,30.15,,,3,34,7
Tampa Bay,Chicago,8,1.24,4.19,-1.61,3.7,3,-1.03,1.11,-1.17,-1.51,-7.43,1.65,-0.99,7.79,-1.25,4.6,5,4.12,,,3,6,7
Arizona,New England,-3.5,-5.72,2.35,-0.94,,-8.2,-3.76,-6.94,-6.78,-7.78,-10,-5.89,-6.34,-5.99,-7.54,-2.66,-1,-5.79,-2.5,-7.17,27,3,8
Atlanta,Carolina,1.5,-4.72,4.63,-1.34,,-12,-2.24,-1.83,-11.86,-10.82,-13,-1.56,-1.33,1.81,-9.03,-2.17,-5,-6.64,-3.2,-5.08,20,27,8
Baltimore,Buffalo,-3.5,-7.25,4.52,-0.83,,1,-5.01,-5.19,-16.9,-11.17,-8,-6.08,-8.21,-4.85,-15.53,-5.13,-2,-4.66,-1.1,-6.66,13,10,8
Cincinnati,Jacksonville,-12.5,-16.35,4.66,-0.83,,-16,-8.99,-10.72,-22.42,-20.96,-19,-14.39,-9.85,-18.07,-20.93,-15.86,-19,-19.78,-11.5,-18.46,41,10,8
Denver,Minnesota,-2.5,-1.8,5.3,0.13,,-0.5,-0.48,4.05,-6.82,-5.94,-13,1.25,0.6,2.22,-8.53,3.3,-3,-1.98,0,-0.49,23,20,8
Detroit,Tampa Bay,-2.5,6.72,4.12,2.24,,13.6,2.83,8.57,4.37,-0.28,11,10.01,15.81,2.36,4.51,5.75,7,3.55,2.9,3.67,3,20,8
Green Bay,Seattle,5.5,0.69,2.11,-2.27,,1.2,-0.22,-2.59,0.04,16.56,-2,3.06,2.6,4.23,0.13,3.06,-2,1.21,2,-0.48,27,7,8
Indianapolis,Dallas,3,0.86,1.66,-1.29,,2,0.82,0.08,0.64,18.56,-2,3.46,3.1,-1.84,2.19,1.13,1,0.13,0.8,0.31,24,34,8
Kansas City,San Diego,6,4.58,3.35,-0.42,,6,0.46,9.4,3.19,1.36,3,3.98,-0.09,8.22,2.83,5.42,2,7.41,5.8,7.91,0,34,8
New Orleans,Cleveland,10,9.28,4.89,-0.15,,21,4.28,17.94,12.12,15.33,7,6.12,0.04,12,10.94,11.78,10,11.58,10.3,6.29,21,16,8
Oakland,Miami,,-0.22,4.07,,,-2.5,-0.84,5.03,1.4,-7.21,-1,-1.31,-11.05,-0.54,2.05,2.25,0,1.78,2.4,-1.65,16,9,8
Philadelphia,N.Y. Giants,-2.5,-1.6,2.35,0.38,,1,-1.25,-3.99,-3.67,-15.47,-5,-0.72,-3.13,-3.07,-2.73,2.13,3,-1.74,2.4,-0.31,23,17,8
Tennessee,St. Louis,-3,-8.92,5.68,-1.04,,-5,-5.79,-8.4,-12.54,-11.35,-21,-7.08,2.62,-5.63,-14.07,-11.05,-10,-8.03,-6,-7.29,21,24,8
Washington,Chicago,8.5,6.61,3.84,-0.49,,14.5,2.25,7.58,5.77,-14.54,10,7.92,6.23,5.22,-2.81,8.56,10,6.45,5.7,10.88,22,48,8
Atlanta,Jacksonville,-6,-12.35,4.66,-1.36,,-19,-8.73,-11.56,-18.58,-21.78,-18.67,-12.29,-4.39,-6.06,-15.45,-10.32,-12,-16.92,-9.8,-14.54,30,7,9
Carolina,Philadelphia,4.5,2.42,3.43,-0.61,,2.5,-0.35,3.19,-1.57,14.64,-2.33,0.7,2.21,6.68,-0.9,2.73,7,7.46,5.1,3,7,33,9
Cleveland,Baltimore,-3,-5.41,3.06,-0.79,,-7,-4.86,-8.88,-9.23,-11.25,-9,-4.86,0.9,-7.54,-8.37,-3.26,-5,-3.75,-2.5,-2.34,41,9,9
