Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
New Orleans,San Francisco,2.5,3.33,-2.4,4,1,3.56,7.1,1,0.1,3.31,3.66,3.49,0.4,10.72,1.28,6.75,1.72,2,6.95,1.58,6.83,-5.05,-4,1,7.12,1,4.5,2.61,,3.1,2.5,2.42,4.46,10.82,5.42,4.44,6.4,3.7,,,,,27,35,7
Oakland,San Diego,7,3.06,2.56,0.25,6,3.33,0.87,10,4.5,3.36,5.59,3.84,5.6,0.56,2.93,2.89,3.28,5,1.98,2.29,8.83,6.55,8,6,4.17,8,0.47,6.03,,-4.6,7,1.09,-0.51,-0.46,2.51,4.55,-2.1,3.3,,,,,27,21,7
Philadelphia,Tampa Bay,3.5,-1.74,3.79,-3,1,0.34,-2.74,3,1.1,2.78,0.16,0.15,4.5,-4.51,-0.15,-0.57,-1.09,2,-1.75,2.27,-1.83,-3.17,7,3,-0.2,5,-2.87,0,,-6.8,3.5,6.34,-1.16,1.85,-2.68,-0.77,-2.7,-0.4,,,,,10,20,7
Pittsburgh,Indianapolis,4.5,-2.13,-2.97,-1,5,-0.14,-4.13,6,1.8,-0.41,2.98,0.19,3.5,-8.1,-1.83,-0.02,0.23,1,4.31,0.25,-2.33,-12.57,10,2,0.68,3,-5.31,0.5,,-5.1,3,1.34,-2.68,-2.63,-1.64,-0.04,-6.5,6.7,,,,,10,28,7
St. Louis,Seattle,5,2.79,10.1,2,7,4.11,6.46,9,8.2,2.29,6.62,1.72,3.8,3.78,-0.86,5.5,0.8,4,-2.02,6.43,-10,2.98,10,5,4.42,5,4.18,2.09,,2.9,6,3.83,4.46,5.78,2.87,4.74,5.3,2.9,,,,,20,37,7
Baltimore,Pittsburgh,-2,2.61,3.19,1,1,1.69,3.28,-4,1.2,2.06,3.36,3.49,1.6,4.07,-0.72,3.91,1.63,-1,-0.79,2.89,-2.55,8.12,-3,1,2.65,0,3.24,1.95,2.78,2.4,-2,-0.22,3.2,6.14,3.81,2.1,3.4,-0.5,,,,,31,18,8
Buffalo,Detroit,7,6.75,8.72,9,12,8.82,7.97,10,7.5,12.17,7.74,7.81,13.7,11.07,9.96,10.27,8.34,8,9.92,5.83,3.27,6.03,12,8,9.16,9,5.95,8.02,11.3,10,7,15.88,5.32,5.66,7.33,6.86,6.1,10.9,,,,,17,24,8
Carolina,Tampa Bay,-7,-5.26,-1.54,-5,-9,-6.93,-6.31,-11,-7.2,-10.09,-6.18,-3.23,-10.1,-6.7,-8.75,-8.23,-2.61,-3,-14.58,-1.77,-11.27,-18.87,-13,-4,-9.37,-4,-4.47,-6.92,-6.5,-15,-7,-7.39,-2.37,-0.44,-7.97,-6.66,-4.4,-9.8,,,,,12,9,8
Cincinnati,Tennessee,-5.5,-6.25,-6.29,-4,-9,-5.68,-8.1,-7,-3.9,-6.61,-4.3,-2.83,-12.3,-2.46,-6.15,-7.74,-6.75,-7,-7.01,-7.81,-14,-1.14,-8,-3,-5.61,-4,-6.29,-6.25,-6.87,-20.3,-5.5,24.17,-4.76,-1.5,-9.47,-4.23,-2.9,-5.4,,,,,30,24,8
Dallas,Seattle,2.5,3.87,11.86,4,1,4.92,8.24,4,4.9,4.92,4.46,5.93,5.1,6.92,0.83,6.14,1.74,5,-0.26,8.46,2.55,4.78,1,2,4.11,5,7.14,1.55,1.98,6.2,3,5.76,5.84,7.96,4.01,7.95,8.9,4.9,,,,,17,14,8
Jacksonville,Houston,10.5,12.08,9.24,12,18,12.82,11.65,12,12.8,12.32,13.81,10.12,9.9,13.94,16.14,14.25,10.1,9,17.3,10.1,18.82,19.32,18,11,14.72,14,10.75,13.54,15.25,16.6,10.5,11.18,8.17,9.4,13.63,10.96,9.5,12,,,,,21,19,8
