Home,Road,line,linesag,linepz,lineARGH,lineed,lineavg,linescrp,linepig,lineray,linecpa,linemass,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linehank,linel2,linepfz2,linel1,linel2h,linefox,linefree,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,open,linestr,lineself,linefly,linegrn,linecoff,lineray2,lineesp,lineadler,linetsr,linetsr2,linelog,vscore,hscore,week
Tennessee,New England,2,-1.24,-1.74,-2,-6,-0.5,0.76,1,0,-0.63,1.73,3.63,1.3,-0.3,-1.68,0.62,-0.48,1,-5.36,-3.43,-0.58,-8.64,-4,3,-2.4,,1.09,-3.54,-0.46,1.9,2,-1.2,2.05,5.41,1.12,-1.96,1,1,1.01,-8,-4,1.01,7,24,15
Arizona,San Francisco,-4,-6.88,-11.66,-8,-9,-7.2,-5.07,-6,-7.8,-4.29,-3.49,-6.69,-8.9,-8.55,-5.76,-6.22,-3.35,-5,-10.02,-8.52,-10.43,-14.83,-9,-4,-6.91,-5,-7.09,-7.81,-5.47,-3,-4.5,-8.7,,-6.4,-8.16,-6.88,-6.7,-6.9,-7.64,-12,-11,-7.8,17,14,16
Atlanta,Detroit,10.5,13.18,11.17,15,16,12.7,13.07,12,13.9,16.68,10.08,11.85,9.9,15.13,12.23,10.89,9.21,1,14.7,15.35,9.62,15.21,13,8,16.16,11,13.08,13.43,17.86,8.2,11,13.14,,11.66,16.37,11.71,15.9,11.9,13.68,14,12,12.78,15,36,16
Baltimore,Cleveland,3,0.98,3.2,1,3,1.55,3.09,2,2.6,-0.22,2.28,1.08,3.8,-0.33,-0.87,0.55,0.29,2,0.12,2.51,0.9,-5.59,1,3,1.44,3,2.48,-0.56,2.74,2,2.5,0.18,,1.86,2.36,3.38,3.1,2.9,0.87,-3,1,1.02,14,13,16
Carolina,Chicago,3,2.74,5.2,2,-1,2.28,3.55,0,0,3.19,2.56,4.97,0,6.11,2.18,2.11,2.4,2,1.12,1.92,4.57,-0.93,-1,1,3.99,3,3.21,2.4,0.64,2.7,3.5,0.45,,2.64,4.29,2.33,3.1,1.3,3.1,-1,4,3.34,14,24,16
Cincinnati,New Orleans,-7,-14.03,-13.86,-18,-13,-12.41,-12.16,-9,-11.1,-10.52,-7.76,-11.16,-11,-14.13,-8.14,-11.45,-6.26,-9,-15.41,-11.44,-17.38,-22.86,-9,-3,-12.61,-8,-16.32,-12.88,-12.41,-5.6,-7,-11.6,,-14.49,-17.91,-12.89,-17.1,-8.7,-14.22,-17,-18,-18.46,13,20,16
Dallas,Philadelphia,-6.5,-10.96,-7.37,-10,-13,-10.44,-9.28,-11,-10.9,-11.98,-8.54,-9.72,-10.8,-11.12,-11.32,-10.62,-6.16,0,-13.21,-14.08,-11.86,-9.96,-15,-5,-11.2,-7,-10.06,-12.09,-13.79,-5.4,-6.5,-12.11,,-7.83,-12.89,-10.02,-10.9,-10.4,-12.18,-16,-16,-7.88,27,3,16
Green Bay,Buffalo,6.5,7.82,8.6,11,12,8.7,9.39,10,10.2,11.59,8.26,9.59,5.3,14.07,7.53,5.52,5.98,7,9.37,10.04,3.95,10.78,11,8,9.35,7,9.16,6.91,9.16,4.7,6.5,5.89,,8,10.38,8.15,10.2,6.8,9.19,7,8,10.44,0,10,16
Indianapolis,N.Y. Giants,5,4.82,3.4,4,5,4.57,5.41,6,4,3.84,5.42,4.67,1.3,6.7,3.39,4.95,2.77,3,4.36,4.96,6.48,1.8,3,4,6.57,5,5.01,4.73,2.38,2.9,5.5,6.16,,5.25,6.65,5.53,5,6.2,3.89,3,1,4.77,44,27,16
Jacksonville,Tennessee,-3,-1.36,0.34,-1,5,-1.3,-0.88,-2,-2.8,4.17,1.43,-2.18,-8,-4.3,3.45,-2.56,2.95,-4,1.44,0.03,-1.67,11.73,1,0,2.53,-3,-4.5,1.45,-3.9,-1,-3,-2.34,,-4.97,-3.76,-0.09,-4.6,-6.3,-2.88,1,-4,-4.14,28,10,16
Kansas City,San Diego,2,3.68,6.12,5,10,6.22,3.2,8,7.1,15.86,6.54,7.11,8.1,4.05,7.46,7.59,5.96,3,9.44,10.97,4.05,11.16,15,4,9.18,5,0.4,7.37,7.62,2,2,12.7,,0.8,3.44,7.94,0.2,8.2,2,8,-4,-1.48,22,24,16
Minnesota,Miami,-3,-7.75,-1.35,-9,-4,-5.87,-6.26,-4,-5.5,-5.69,-2.44,-4.47,-3.5,-8.63,-5.34,-2.86,-3.2,-7,-8.68,-3.47,-12.15,4.14,-4,-3,-6,-2,-8.46,-7.66,-5.01,-0.8,-4,-3.49,,-7.53,-8.11,-2.82,-8.9,-3.3,-8.52,-10,-12,-11.17,17,20,16
New England,N.Y. Jets,4,4.29,1.84,5,6,4.12,5.29,5,3.9,5.76,3.13,0.42,3,7.15,5.3,1.48,4.07,5,6.58,4.45,-0.72,-0.36,7,4,7.2,4,4.63,3.95,3.37,2.2,4,0.28,,3.05,5.27,4.42,5.8,0.4,4.36,4,2,3.77,30,17,16
Oakland,Denver,4,4.47,3.95,6,10,6.24,5.28,7,6.5,10.59,6.7,6.2,5.1,7.89,5.68,6.04,4.83,6,8.41,7.84,7.81,5.4,8,4,7.6,6,3.54,5.83,10,2.8,4.5,8.87,,3.7,5.5,6.89,4,6.4,4.23,4,-1,5.69,16,28,16
Seattle,St. Louis,1,0.83,4.04,1,-1,2.27,1.56,3,1.5,7.99,0.29,4.3,9.9,4.08,2.5,3.8,2.27,1,2.9,2.42,0.81,6.69,2,2,3.08,1,-0.05,1.71,1.36,2,0,7.26,,0.1,1.06,2.17,1,4.7,0.19,1,-2,0.51,10,30,16
Tampa Bay,Pittsburgh,4.5,8.47,8.53,9,10,8.91,8.38,8,10.9,8.83,9.31,8.88,10.5,7.99,8.95,10.08,6.59,5,11.26,8.84,10.85,11.17,10,7,11.15,6,8.06,8.92,7.79,4.2,4.5,12.84,,7.04,10.77,9.56,10.6,9.9,8.08,10,4,7.3,17,7,16
Washington,Houston,6.5,5.37,5.67,6,3,5.27,6.39,7,7.9,1.89,6.6,4.84,-0.5,6.48,4.71,3.01,3.47,3,5.91,1.83,6.14,-1.82,7,8,7.4,9,5.86,4.82,7.9,2.5,6,2.9,,4.79,6.94,4.98,7.6,3,4.63,5,7,4.54,10,26,16
Buffalo,Cincinnati,7,10.97,5.41,13,11,10.51,10.46,11,11.9,10.87,9.56,10.71,9.5,10.91,7.31,9.65,6.38,7,9.83,5,13.48,7.94,12,7,12.59,10,12.11,10.14,11.14,,7.5,12.5,7.48,9.66,13.64,11.9,16.8,8.2,12.25,11,7,9.46,9,27,17
Chicago,Tampa Bay,-7,-10.93,-7.68,-10,-6,-8.69,-8.95,-6,-7.7,-11.43,-5.42,-8.16,-6.4,-7.1,-9.77,-6.54,-5.53,-4,-11.92,-11.26,-9.63,-8.82,-9,-4,-9.63,-8,-11.97,-10.4,-5.76,,-6.5,-6.66,-4.04,-9.94,-12.67,-8.69,-10.3,-6.3,-12.61,-15,-11,-8.01,15,0,17
Cleveland,Atlanta,-2.5,-2.02,-5.19,-2,-3,-1.63,-0.13,0,-2.4,-5.7,0.63,-1.67,0.1,-3.06,-1.7,-1.2,-0.46,-1,-3.86,-3.28,-1,-10.12,1,0,-0.89,-2,-1.25,-2.92,-2.23,,-2.5,-2.86,1.18,1.19,-0.93,-2.61,-2,0.2,-1.28,-5,-3,1.74,16,24,17
Denver,Arizona,11.5,10.65,6.59,12,14,11.71,8.98,14,11.8,13.25,10.6,12.64,15.2,8,8.97,11.51,7,8,14.8,11.35,14.53,10.68,20,10,14.68,10,9.35,12.42,10.93,,11,17.59,6.87,9.89,11.99,12.15,10.7,12.9,10.57,14,12,10.22,7,37,17
Detroit,Minnesota,-3.5,-3.06,-4.63,-4,-2,-3.21,-1.57,-4,-3.9,0.26,0.19,-6.22,-11.8,2.17,-2.11,-5.38,-0.9,-6,-5.4,-3.77,-1.95,2.98,-6,1,-1.94,-3,-2.86,-3.32,-1.28,,-3.5,-7.66,0.49,-3.25,-3.97,-0.35,-2,-5.4,-2.16,-7,-5,-2.8,38,36,17
Houston,Tennessee,-8.5,-8.58,-9.8,-9,-14,-9.31,-7.02,-8,-10,-9.95,-6.85,-10.77,-16.2,-7.88,-6.86,-10.57,-3.56,-10,-10.01,-12.07,-9.48,-13.14,-10,-5,-7.15,-8,-9.55,-7.99,-10.53,,-8,-11.57,-2.72,-9.48,-10.53,-8.23,-10.1,-8.3,-9.9,-10,-11,-8.72,13,3,17
Indianapolis,Jacksonville,8.5,5.17,3.49,5,4,5.58,6.08,7,7.1,4.82,4.33,5.45,4.8,5.52,2.44,4.5,2.3,5,3.23,4.6,8.05,-2.35,4,6,5.48,9,7.59,2.96,6.83,,7.5,6.21,5.13,7.03,7.98,5.98,9.1,8.9,7.5,1,3,7.41,13,20,17
N.Y. Giants,Philadelphia,-2,-5.24,-4.26,-5,-7,-4.21,-2.78,-5,-3.5,-6.04,-4.08,-5.35,0.5,-3.88,-3.96,-2.38,-2.13,-4,-5.79,-8.99,-6.1,-9.06,-3,-1,-3.92,-2,-4.26,-6.18,-5.33,,-1,-2.82,-0.77,-0.99,-5.2,-5.56,-2.9,-1.8,-4.28,-9,-9,-3.02,7,10,17
N.Y. Jets,Green Bay,1,-2.96,-4.61,-4,-3,-1.38,-2.57,-1,-1.6,-3.03,0.05,0.69,0.5,-2.43,-2.66,1.66,-1.17,-3,-2.2,-2.2,4.67,-2.64,5,-1,-0.61,1,-5.42,-1.09,2.44,,0,5.03,-0.06,-0.78,-3.97,-2.28,-4,2.3,-4.77,-5,-7,-3.73,17,42,17
New England,Miami,-1,-0.32,-0.17,0.25,4,-0.02,2.49,-1,0.8,2.2,1.28,-3.55,-3.3,3.25,-0.54,-2.03,0.25,-1,-2.67,1.99,-7.68,2.44,0,1,1.71,0,0.55,-1.53,2.79,,0,-3.49,1.93,1.33,0.78,2.56,1.8,-0.7,0.45,-3,-5,-1.6,24,27,17
New Orleans,Carolina,7,7.99,4.44,9,8,7.67,8.3,7,7.5,11.82,5.95,5.63,1.9,8.8,6.85,4.22,4.9,3,10.05,4.97,10.75,9.58,6,8,10.3,8,8.39,7.63,10.13,,7,5.6,5.89,9.07,9.07,7.83,10.2,5,9.28,10,10,9.38,10,6,17
Oakland,Kansas City,7.5,5.72,5.8,8,8,7.17,6.89,7,7.4,7.62,7.51,8.89,9.6,8.94,3.73,7.38,3.35,4,7.85,8.19,14.63,14.11,9,6,6.78,8,6,5.65,6.54,,7,7.64,4.78,8.06,7.27,7.34,7.6,5.6,6.64,2,3,7.34,0,24,17
Pittsburgh,Baltimore,7.5,6.54,7.7,7,8,7.39,7.26,11,8.1,10.19,6.89,8.84,9.3,7.52,5.97,7.31,4.76,6,6.76,7.49,5.53,4.92,9,5,8.55,8,6.65,6.48,8.12,,7.5,8.16,5.37,8.04,8.28,6.56,7.2,6.6,8.17,4,3,6.3,31,34,17
San Diego,Seattle,3,4.42,2.62,4,2,2.86,5.27,1,2.8,3.92,2.55,0.68,-2.9,5.44,1.25,-0.42,1.52,1,0.4,-0.13,1.9,0.42,0,5,5.21,5,5.71,3.18,1.06,,3.5,-0.75,4.42,4.52,5.15,3.81,7.7,-0.5,5.52,2,8,3.77,31,28,17
St. Louis,San Francisco,-1.5,-4.16,-3,-5,1,-2.88,-3.18,1,-2.7,-5.86,1.07,-2.16,-4.3,-3.86,-2.62,-1.63,-1.1,-5,-3.18,-3.31,-0.23,0.45,-1,-3,-2.3,-3,-5.92,-2.92,1.22,,-2,-2.5,-0.49,-4.8,-4.83,-2.1,-5.4,-1.9,-5.19,-5,-7,-3.4,20,31,17
Washington,Dallas,7,5.18,9.97,5,8,6.43,6.59,6,6,7.58,6.83,7.72,10.3,7.48,5.12,5.83,4.27,3,5.61,5.22,5.05,9.45,9,6,7.45,7,5.3,5.18,8.8,,6.5,9.01,4.87,5.42,6.64,6.7,6,6.7,5.99,4,6,4.64,14,20,17
Green Bay,Atlanta,6.5,3.38,-0.38,4,3,4.45,4.6,6,5.8,8.22,5.17,5.24,4.5,13.36,1.21,2.7,1.28,6,0.9,3.32,0.64,2.26,4,5,3.17,,5.97,1.1,4.23,2.4,6.5,2.02,4.24,5.33,5.43,4.8,7.5,4.9,4.9,6,2,7.06,27,7,18
N.Y. Jets,Indianapolis,6,2.99,-0.44,3,1,4.23,1.55,6,6.6,5.34,2.91,8.82,12.1,2.44,1.33,7.95,1.52,3,3.83,2.96,3.96,0.17,8,5,4.68,,0.83,5.08,7.45,1.8,6,11.9,2.68,2.54,2.42,6.35,3.2,7.4,0.86,2,-2,0.65,0,41,18
Pittsburgh,Cleveland,7.5,4.15,5.54,5,6,4.98,5.05,6,4.9,10.5,5,4.71,4.7,9.63,2.79,3.06,2.56,5,3.63,6.38,3.68,-1.44,6,6,5.08,,5.02,3.44,7.33,2.4,8,3.02,4.23,4.82,5.64,5.16,4.9,4.1,4.84,1,1,5.47,33,36,18
San Francisco,N.Y. Giants,3.5,2.43,0.13,2,4,1.42,3.25,-1,2.1,7.03,1.74,-1.92,-9.4,7.87,0.55,-3.81,1.18,-1,1.44,2.51,0.86,2.26,0,3,3.48,,3.05,1.98,-0.13,1.4,4,-6.01,3.39,2.52,2.49,3.52,4.3,-2.4,1.9,6,1,2.48,38,39,18
Oakland,N.Y. Jets,5.5,6.25,6.07,7,7,6.3,7.8,5,6,13.29,5.03,5.21,2.7,11.01,5.06,4.52,4.55,5,9.03,6.5,10.63,10.42,6,,8.8,,6.34,6.53,4.91,2.3,6,4.23,4.98,5.75,7.27,6.85,7.2,2.2,6.13,6,1,5.47,10,30,19
Philadelphia,Atlanta,7.5,4.6,-0.33,5,6,5.58,5.41,8,7,6.46,7.05,6.98,6,9.42,5.11,7.21,4.76,7,2.79,2.28,6.76,-3.46,9,,5.53,,5.13,3.99,9.14,2.5,7.5,6.53,4.6,4.08,6.16,4.68,6,4.7,6.11,4,3,4.86,6,20,19
Tampa Bay,San Francisco,6,7.54,6.35,8,10,7.54,6.66,7,5.9,10.08,9.1,9.17,7.3,6.64,9.12,9.07,6.66,6,11.39,9.04,10.88,10.18,8,,10.1,,4.62,10.06,8.04,3.4,4,10.86,5.31,3.27,7.85,8.84,4.7,6.8,7.56,3,3,4.65,6,31,19
Tennessee,Pittsburgh,4,1.66,1.47,2,1,3.14,3.03,4,4.6,3.32,4.24,5.38,7.7,3.95,2.08,5.91,1.91,3,1.58,-0.41,2.75,1.5,5,,2.72,,1.92,1.46,4.54,2,4,9.18,3.04,2.2,3.17,2.18,4.1,5.4,2.01,-1,2,1.53,31,34,19
Oakland,Tennessee,7.5,7.38,8.02,9,11,7.73,6.82,9,10.5,6.52,6.28,9.2,11.2,5.84,6.2,6.83,5.6,4,11.97,8.25,10.41,13.58,12,,11.21,,3.89,11.07,5.76,2,7,11.87,,4.08,5.75,9.61,5.9,7.3,4.5,9,1,2.71,24,41,20
Philadelphia,Tampa Bay,4,1.79,1.16,1,2,2.67,2.62,5,4.1,2.53,3.79,5.07,5.5,3.75,1.48,3.58,1.93,1,1.39,-0.4,2.38,0.85,5,,2.62,,2.16,1.35,7.02,2.1,3.5,4.69,,1.82,3.4,2.11,3,2.9,1.63,-2,2,2.63,27,10,20
Oakland,Tampa Bay,3.5,-0.08,0.03,-2,1,0.71,0.41,1,3.5,-0.14,-0.17,4.3,7.3,-0.64,-2.19,1.99,-1.58,-1,0.86,0.03,2.41,1.09,2,,0.75,,-0.77,1.21,3.85,-2.1,3.5,5.97,-0.57,1.74,-1.04,1.37,0.9,1.6,-2.11,-4,-8,-1.14,48,21,21
